,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli
0,0,39,4,1,rel4,4,2,irr,rel,irr,high2,5,4,0,-40,0,-40,0,20,42,44,4,1,-39.0,-40,20,0,1,0,"[1, 0, 4, 5]"
1,1,55,4,1,rel4,4,2,irr,rel,irr,high4,6,2,0,-20,0,-20,0,40,43,45,3,2,-23.0,-20,40,0,1,0,"[1, 0, 4, 5]"
2,2,53,4,1,rel4,4,2,rel,irr,high4,irr,2,6,-20,0,-20,0,40,0,45,43,2,3,-25.0,-20,40,0,1,0,"[1, 0, 4, 5]"
3,3,42,4,2,rel4,4,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,43,42,3,4,3.0,0,0,0,0,0,"[1, 0, 4, 5]"
4,4,15,4,1,rel4,4,2,rel,irr,high2,irr,4,5,-40,0,-40,0,20,0,44,42,1,4,-44.0,-40,20,0,1,0,"[1, 0, 4, 5]"
5,5,35,4,1,rel4,4,2,irr,rel,irr,mid1,6,1,0,25,0,25,0,-15,43,50,3,5,27.0,25,-15,0,1,0,"[1, 0, 4, 5]"
6,6,16,4,2,rel4,4,2,irr,rel,irr,mid1,6,1,0,-15,0,25,0,-15,43,50,3,5,-17.0,25,-15,0,1,0,"[1, 0, 4, 5]"
7,7,22,4,2,rel4,4,2,rel,rel,mid1,high2,1,4,-15,20,25,-40,-15,20,50,44,5,1,10.0,-15,5,0,1,0,"[1, 0, 4, 5]"
8,8,3,4,1,rel4,4,2,rel,irr,mid2,irr,3,6,-25,0,-25,0,15,0,47,43,6,3,-24.0,-25,15,0,1,0,"[1, 0, 4, 5]"
9,9,29,4,1,rel4,4,2,irr,rel,irr,high2,5,4,0,-40,0,-40,0,20,42,44,4,1,-38.0,-40,20,0,1,0,"[1, 0, 4, 5]"
