,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli
0,0,55,2,1,rel2,3,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,21,25,5,2,-2.0,0,0,0,0,0,"[2, 3]"
1,1,43,2,1,rel2,3,2,irr,irr,irr,irr,3,6,0,0,0,0,0,0,23,21,1,5,0.0,0,0,0,0,0,"[2, 3]"
2,2,38,2,2,rel2,3,2,irr,irr,irr,irr,5,3,0,0,0,0,0,0,25,23,2,1,-1.0,0,0,0,0,0,"[2, 3]"
3,3,3,2,1,rel2,3,2,irr,rel,irr,mid2,4,2,0,-25,0,-25,0,15,28,26,6,3,-24.0,-25,15,0,1,0,"[2, 3]"
4,4,53,2,1,rel2,3,2,rel,irr,mid2,irr,2,6,-25,0,-25,0,15,0,26,21,3,5,-23.0,-25,15,0,1,0,"[2, 3]"
5,5,5,2,1,rel2,3,2,rel,irr,mid2,irr,2,4,-25,0,-25,0,15,0,26,28,3,6,-28.0,-25,15,0,1,0,"[2, 3]"
6,6,33,2,1,rel2,3,2,irr,rel,irr,low1,4,1,0,5,0,5,0,-15,28,27,6,4,3.0,5,-15,0,1,0,"[2, 3]"
7,7,26,2,2,rel2,3,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,28,25,6,2,2.0,0,0,0,0,0,"[2, 3]"
8,8,16,2,2,rel2,3,2,irr,irr,irr,irr,5,3,0,0,0,0,0,0,25,23,2,1,2.0,0,0,0,0,0,"[2, 3]"
9,9,56,2,2,rel2,3,2,rel,irr,mid2,irr,2,6,15,0,-25,0,15,0,26,21,3,5,13.0,-25,15,0,1,0,"[2, 3]"
10,10,2,2,2,rel2,3,2,irr,irr,irr,irr,5,3,0,0,0,0,0,0,25,23,2,1,3.0,0,0,0,0,0,"[2, 3]"
11,11,44,2,2,rel2,3,2,irr,irr,irr,irr,3,6,0,0,0,0,0,0,23,21,1,5,3.0,0,0,0,0,0,"[2, 3]"
12,12,8,2,2,rel2,3,2,irr,irr,irr,irr,3,6,0,0,0,0,0,0,23,21,1,5,0.0,0,0,0,0,0,"[2, 3]"
13,13,46,2,2,rel2,3,2,irr,rel,irr,mid2,4,2,0,15,0,-25,0,15,28,26,6,3,14.0,-25,15,0,1,1,"[2, 3]"
14,14,37,2,1,rel2,3,2,irr,irr,irr,irr,6,3,0,0,0,0,0,0,21,23,5,1,0.0,0,0,0,0,0,"[2, 3]"
15,15,49,2,1,rel2,3,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,28,21,6,5,2.0,0,0,0,0,0,"[2, 3]"
16,16,41,2,1,rel2,3,2,rel,irr,low1,irr,1,5,5,0,5,0,-15,0,27,25,4,2,4.0,5,-15,0,1,0,"[2, 3]"
17,17,52,2,2,rel2,3,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,21,28,5,6,4.0,0,0,0,0,0,"[2, 3]"
18,18,11,2,1,rel2,3,2,irr,irr,irr,irr,3,4,0,0,0,0,0,0,23,28,1,6,0.0,0,0,0,0,0,"[2, 3]"
19,19,45,2,1,rel2,3,2,rel,irr,low1,irr,1,3,5,0,5,0,-15,0,27,23,4,1,6.0,5,-15,0,1,0,"[2, 3]"
20,20,57,2,1,rel2,3,2,rel,rel,mid2,low1,2,1,-25,5,-25,5,15,-15,26,27,3,4,-17.0,-20,0,1,1,0,"[2, 3]"
21,21,22,2,2,rel2,3,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,28,21,6,5,-2.0,0,0,0,0,0,"[2, 3]"
22,22,12,2,2,rel2,3,2,rel,irr,low1,irr,1,3,-15,0,5,0,-15,0,27,23,4,1,-13.0,5,-15,0,1,0,"[2, 3]"
23,23,21,2,1,rel2,3,2,rel,irr,low1,irr,1,4,5,0,5,0,-15,0,27,28,4,6,6.0,5,-15,0,1,1,"[2, 3]"
