,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli
0,0,9,1,1,rel1,5,2,rel,irr,low4,irr,1,4,-15,0,-15,0,5,0,20,19,6,4,-15,-15,5,0,1,0,[5]
1,1,6,1,2,rel1,5,2,rel,irr,low4,irr,1,2,5,0,-15,0,5,0,20,14,6,2,5,-15,5,0,1,0,[5]
2,2,12,1,2,rel1,5,2,irr,irr,irr,irr,2,3,0,0,0,0,0,0,14,18,2,3,0,0,0,0,0,0,[5]
3,3,10,1,2,rel1,5,2,rel,irr,low4,irr,1,4,5,0,-15,0,5,0,20,19,6,4,5,-15,5,0,1,0,[5]
4,4,11,1,1,rel1,5,2,rel,irr,low4,irr,1,4,-15,0,-15,0,5,0,20,19,6,4,-15,-15,5,0,1,0,[5]
5,5,8,1,2,rel1,5,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,17,11,5,1,0,0,0,0,0,0,[5]
6,6,3,1,1,rel1,5,2,irr,irr,irr,irr,3,4,0,0,0,0,0,0,18,19,3,4,0,0,0,0,0,0,[5]
7,7,7,1,1,rel1,5,2,rel,irr,low4,irr,1,5,-15,0,-15,0,5,0,20,17,6,5,-15,-15,5,0,1,0,[5]
8,8,16,1,2,rel1,5,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,19,17,4,5,0,0,0,0,0,0,[5]
9,9,1,1,1,rel1,5,2,irr,irr,irr,irr,3,2,0,0,0,0,0,0,18,14,3,2,0,0,0,0,0,0,[5]
10,10,5,1,1,rel1,5,2,irr,irr,irr,irr,6,3,0,0,0,0,0,0,11,18,1,3,0,0,0,1,0,0,[5]
11,11,13,1,1,rel1,5,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,19,17,4,5,0,0,0,1,0,0,[5]
12,12,14,1,2,rel1,5,2,irr,irr,irr,irr,3,4,0,0,0,0,0,0,18,19,3,4,0,0,0,1,0,0,[5]
13,13,2,1,2,rel1,5,2,irr,irr,irr,irr,3,6,0,0,0,0,0,0,18,11,3,1,0,0,0,1,0,0,[5]
14,14,15,1,1,rel1,5,2,irr,irr,irr,irr,5,3,0,0,0,0,0,0,17,18,5,3,0,0,0,1,0,0,[5]
15,15,4,1,2,rel1,5,2,irr,irr,irr,irr,3,6,0,0,0,0,0,0,18,11,3,1,0,0,0,1,0,0,[5]
