,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,53,3,1,rel3,5,2,rel,rel,mid4,low1,3,2,-15,5,-15,5,25,-15,36,39,3,2,-8.0,-10,10,0,1,0,"[2, 1, 5]",0
1,1,16,3,2,rel3,5,2,rel,irr,low1,irr,2,6,-15,0,5,0,-15,0,39,35,2,1,-14.0,5,-15,0,1,0,"[2, 1, 5]",0
2,2,44,3,2,rel3,5,2,irr,rel,irr,low1,4,2,0,-15,0,5,0,-15,32,39,4,2,-15.0,5,-15,0,1,0,"[2, 1, 5]",0
3,3,47,3,1,rel3,5,2,rel,rel,low1,mid4,2,3,5,-15,5,-15,-15,25,39,36,2,3,-11.0,-10,10,0,1,0,"[2, 1, 5]",0
4,4,36,3,2,rel3,5,2,rel,irr,mid1,irr,1,6,-15,0,25,0,-15,0,31,35,6,1,-13.0,25,-15,0,1,0,"[2, 1, 5]",0
5,5,38,3,2,rel3,5,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,32,35,4,1,-2.0,0,0,0,0,0,"[2, 1, 5]",0
6,6,10,3,2,rel3,5,2,irr,rel,irr,mid1,4,1,0,-15,0,25,0,-15,32,31,4,6,-18.0,25,-15,0,1,0,"[2, 1, 5]",0
7,7,55,3,1,rel3,5,2,irr,rel,irr,mid4,6,3,0,-15,0,-15,0,25,35,36,1,3,-16.0,-15,25,0,1,0,"[2, 1, 5]",0
8,8,56,3,2,rel3,5,2,irr,rel,irr,mid4,6,3,0,25,0,-15,0,25,35,36,1,3,27.0,-15,25,0,1,0,"[2, 1, 5]",0
9,9,5,3,1,rel3,5,2,rel,rel,low1,mid4,2,3,5,-15,5,-15,-15,25,39,36,2,3,-8.0,-10,10,0,1,0,"[2, 1, 5]",0
10,10,57,3,1,rel3,5,2,rel,irr,mid1,irr,1,5,25,0,25,0,-15,0,31,37,6,5,25.0,25,-15,0,1,0,"[2, 1, 5]",0
11,11,41,3,1,rel3,5,2,rel,rel,mid1,mid4,1,3,25,-15,25,-15,-15,25,31,36,6,3,13.0,10,10,0,1,0,"[2, 1, 5]",0
12,12,22,3,2,rel3,5,2,rel,rel,mid1,mid4,1,3,-15,25,25,-15,-15,25,31,36,6,3,9.0,10,10,0,1,0,"[2, 1, 5]",0
13,13,18,3,2,rel3,5,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,32,35,4,1,0.0,0,0,0,0,0,"[2, 1, 5]",0
14,14,52,3,2,rel3,5,2,irr,rel,irr,mid1,4,1,0,-15,0,25,0,-15,32,31,4,6,-13.0,25,-15,0,1,0,"[2, 1, 5]",0
15,15,40,3,2,rel3,5,2,rel,irr,mid4,irr,3,6,25,0,-15,0,25,0,36,35,3,1,23.0,-15,25,0,1,1,"[2, 1, 5]",0
16,16,2,3,2,rel3,5,2,rel,irr,low1,irr,2,6,-15,0,5,0,-15,0,39,35,2,1,-15.0,5,-15,0,1,1,"[2, 1, 5]",0
17,17,46,3,2,rel3,5,2,irr,rel,irr,mid1,4,1,0,-15,0,25,0,-15,32,31,4,6,-14.0,25,-15,0,1,0,"[2, 1, 5]",0
18,18,20,3,2,rel3,5,2,rel,rel,low1,mid1,2,1,-15,-15,5,25,-15,-15,39,31,2,6,-30.0,30,-30,0,1,1,"[2, 1, 5]",0
19,19,33,3,1,rel3,5,2,irr,rel,irr,mid1,5,1,0,25,0,25,0,-15,37,31,5,6,25.0,25,-15,0,1,1,"[2, 1, 5]",1
20,20,48,3,2,rel3,5,2,rel,irr,mid1,irr,1,4,-15,0,25,0,-15,0,31,32,6,4,-16.0,25,-15,0,1,0,"[2, 1, 5]",0
21,21,25,3,1,rel3,5,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,32,35,4,1,1.0,0,0,0,0,0,"[2, 1, 5]",0
22,22,13,3,1,rel3,5,2,rel,irr,mid4,irr,3,6,-15,0,-15,0,25,0,36,35,3,1,-16.0,-15,25,0,1,0,"[2, 1, 5]",0
23,23,27,3,1,rel3,5,2,irr,rel,irr,low1,6,2,0,5,0,5,0,-15,35,39,1,2,1.0,5,-15,1,1,0,"[2, 1, 5]",0
24,24,17,3,1,rel3,5,2,rel,irr,low1,irr,2,4,5,0,5,0,-15,0,39,32,2,4,6.0,5,-15,0,1,0,"[2, 1, 5]",0
25,25,37,3,1,rel3,5,2,irr,rel,irr,mid4,5,3,0,-15,0,-15,0,25,37,36,5,3,-15.0,-15,25,1,1,0,"[2, 1, 5]",0
26,26,54,3,2,rel3,5,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,37,32,5,4,-1.0,0,0,0,0,0,"[2, 1, 5]",0
27,27,35,3,1,rel3,5,2,rel,rel,mid1,low1,1,2,25,5,25,5,-15,-15,31,39,6,2,29.0,30,-30,0,1,1,"[2, 1, 5]",0
28,28,1,3,1,rel3,5,2,rel,rel,mid4,mid1,3,1,-15,25,-15,25,25,-15,36,31,3,6,13.0,10,10,0,1,1,"[2, 1, 5]",0
29,29,51,3,1,rel3,5,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,32,37,4,5,0.0,0,0,0,0,0,"[2, 1, 5]",0
30,30,11,3,1,rel3,5,2,rel,irr,mid4,irr,3,6,-15,0,-15,0,25,0,36,35,3,1,-16.0,-15,25,0,1,1,"[2, 1, 5]",0
31,31,50,3,2,rel3,5,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,35,37,1,5,-2.0,0,0,0,0,0,"[2, 1, 5]",0
