,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,40,2,2,rel2,3,2,rel,irr,high1,irr,1,3,-20,0,40,0,-20,0,23,26,4,3,-19.0,40,-20,0,1,0,"[3, 4]",0
1,1,37,2,1,rel2,3,2,irr,irr,irr,irr,3,6,0,0,0,0,0,0,26,27,3,6,-1.0,0,0,0,0,0,"[3, 4]",0
2,2,51,2,1,rel2,3,2,rel,rel,low4,high1,2,1,-15,40,-15,40,5,-20,24,23,5,4,25.0,25,-15,0,1,0,"[3, 4]",0
3,3,57,2,1,rel2,3,2,rel,irr,high1,irr,1,4,40,0,40,0,-20,0,23,30,4,1,43.0,40,-20,0,1,0,"[3, 4]",0
4,4,34,2,2,rel2,3,2,irr,rel,irr,high1,4,1,0,-20,0,40,0,-20,30,23,1,4,-20.0,40,-20,0,1,0,"[3, 4]",0
5,5,7,2,1,rel2,3,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,29,30,2,1,1.0,0,0,0,0,0,"[3, 4]",0
6,6,4,2,2,rel2,3,2,rel,irr,high1,irr,1,5,-20,0,40,0,-20,0,23,29,4,2,-16.0,40,-20,0,1,0,"[3, 4]",0
7,7,58,2,2,rel2,3,2,rel,irr,high1,irr,1,4,-20,0,40,0,-20,0,23,30,4,1,-23.0,40,-20,0,1,0,"[3, 4]",0
8,8,2,2,2,rel2,3,2,rel,irr,high1,irr,1,6,-20,0,40,0,-20,0,23,27,4,6,-21.0,40,-20,0,1,0,"[3, 4]",0
9,9,30,2,2,rel2,3,2,irr,irr,irr,irr,3,6,0,0,0,0,0,0,26,27,3,6,4.0,0,0,0,0,0,"[3, 4]",0
10,10,50,2,2,rel2,3,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,29,30,2,1,1.0,0,0,0,0,0,"[3, 4]",0
11,11,60,2,2,rel2,3,2,rel,rel,high1,low4,1,2,-20,5,40,-15,-20,5,23,24,4,5,-17.0,25,-15,0,1,0,"[3, 4]",0
12,12,14,2,2,rel2,3,2,irr,rel,irr,low4,4,2,0,5,0,-15,0,5,30,24,1,5,3.0,-15,5,0,1,0,"[3, 4]",0
13,13,41,2,1,rel2,3,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,30,27,1,6,2.0,0,0,0,0,0,"[3, 4]",0
14,14,38,2,2,rel2,3,2,rel,irr,low4,irr,2,5,5,0,-15,0,5,0,24,29,5,2,4.0,-15,5,0,1,1,"[3, 4]",0
15,15,9,2,1,rel2,3,2,rel,irr,low4,irr,2,6,-15,0,-15,0,5,0,24,27,5,6,-15.0,-15,5,0,1,0,"[3, 4]",0
16,16,35,2,1,rel2,3,2,irr,rel,irr,high1,6,1,0,40,0,40,0,-20,27,23,6,4,39.0,40,-20,0,1,0,"[3, 4]",0
