,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,17,4,1,rel4,1,4,rel,rel,irr,irr,low1,high2,irr,irr,2,4,6,5,5,-40,0,0,5,-40,0,0,-15,20,0,0,49,46,45,48,1,4,5,3,-37.0,-35,5,0,1,0,"[0, 5, 1, 3]",0
1,1,8,4,2,rel4,1,4,rel,rel,irr,rel,low1,mid3,irr,high2,2,1,6,4,-15,-25,0,20,5,15,0,-40,-15,-25,0,20,49,50,45,46,1,2,5,4,-21.0,-20,-20,0,1,0,"[0, 5, 1, 3]",0
2,2,3,4,1,rel4,1,4,irr,rel,rel,rel,irr,low1,high2,mid4,5,2,4,3,0,5,-40,-15,0,5,-40,-15,0,-15,20,25,48,49,46,43,3,1,4,6,-51.0,-50,30,0,1,0,"[0, 5, 1, 3]",0
3,3,1,4,1,rel4,1,4,rel,rel,rel,irr,low1,mid3,mid4,irr,2,1,3,6,5,15,-15,0,5,15,-15,0,-15,-25,25,0,49,50,43,45,1,2,6,5,5.0,5,-15,0,1,0,"[0, 5, 1, 3]",0
4,4,9,4,1,rel4,1,4,rel,rel,irr,rel,mid4,mid3,irr,high2,3,1,5,4,-15,15,0,-40,-15,15,0,-40,25,-25,0,20,43,50,48,46,6,2,3,4,-45.0,-40,20,0,1,0,"[0, 5, 1, 3]",0
5,5,2,4,2,rel4,1,4,rel,rel,rel,irr,mid4,low1,high2,irr,3,2,4,6,25,-15,20,0,-15,5,-40,0,25,-15,20,0,43,49,46,45,6,1,4,5,30.0,-50,30,0,1,0,"[0, 5, 1, 3]",0
6,6,16,4,2,rel4,1,4,rel,rel,rel,rel,mid4,low1,mid3,high2,3,2,1,4,25,-15,-25,20,-15,5,15,-40,25,-15,-25,20,43,49,50,46,6,1,2,4,6.0,-35,5,0,1,0,"[0, 5, 1, 3]",1
7,7,15,4,1,rel4,1,4,irr,rel,rel,rel,irr,mid3,mid4,high2,6,1,3,4,0,15,-15,-40,0,15,-15,-40,0,-25,25,20,45,50,43,46,5,2,6,4,-39.0,-40,20,0,1,1,"[0, 5, 1, 3]",0
8,8,4,4,2,rel4,1,4,rel,rel,irr,rel,low1,mid4,irr,high2,2,3,6,4,-15,25,0,20,5,-15,0,-40,-15,25,0,20,49,43,45,46,1,6,5,4,30.0,-50,30,1,1,1,"[0, 5, 1, 3]",0
9,9,14,4,2,rel4,1,4,irr,rel,rel,rel,irr,low1,mid4,mid3,6,2,3,1,0,-15,25,-25,0,5,-15,15,0,-15,25,-25,45,49,43,50,5,1,6,2,-17.0,5,-15,1,1,0,"[0, 5, 1, 3]",0
