,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,2,2,2,rel2,3,4,irr,irr,rel,irr,irr,irr,mid1,irr,3,4,1,5,0,0,-15,0,0,0,25,0,0,0,-15,0,29,21,22,23,2,5,4,1,-14.0,25,-15,0,1,0,"[5, 3]",0
1,1,19,2,1,rel2,3,4,irr,irr,irr,irr,irr,irr,irr,irr,6,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,30,23,21,29,3,1,5,2,0.0,0,0,0,0,0,"[5, 3]",0
2,2,4,2,2,rel2,3,4,irr,rel,irr,irr,irr,mid4,irr,irr,5,2,4,3,0,25,0,0,0,-15,0,0,0,25,0,0,23,28,21,29,1,6,5,2,27.0,-15,25,0,1,0,"[5, 3]",0
3,3,20,2,2,rel2,3,4,rel,irr,irr,irr,mid4,irr,irr,irr,2,3,5,6,25,0,0,0,-15,0,0,0,25,0,0,0,28,29,23,30,6,2,1,3,24.0,-15,25,0,1,0,"[5, 3]",0
4,4,18,2,2,rel2,3,4,irr,rel,rel,irr,irr,mid1,mid4,irr,4,1,2,6,0,-15,25,0,0,25,-15,0,0,-15,25,0,21,22,28,30,5,4,6,3,11.0,10,10,0,1,0,"[5, 3]",0
5,5,6,2,2,rel2,3,4,rel,irr,rel,irr,mid4,irr,mid1,irr,2,4,1,3,25,0,-15,0,-15,0,25,0,25,0,-15,0,28,21,22,29,6,5,4,2,12.0,10,10,0,1,1,"[5, 3]",0
6,6,1,2,1,rel2,3,4,irr,rel,irr,rel,irr,mid1,irr,mid4,5,1,6,2,0,25,0,-15,0,25,0,-15,0,-15,0,25,23,22,30,28,1,4,3,6,13.0,10,10,0,1,0,"[5, 3]",1
7,7,5,2,1,rel2,3,4,rel,irr,irr,irr,mid4,irr,irr,irr,2,3,6,4,-15,0,0,0,-15,0,0,0,25,0,0,0,28,29,30,21,6,2,3,5,-14.0,-15,25,1,1,0,"[5, 3]",0
8,8,12,2,2,rel2,3,4,rel,irr,irr,rel,mid4,irr,irr,mid1,2,3,6,1,25,0,0,-15,-15,0,0,25,25,0,0,-15,28,29,30,22,6,2,3,4,8.0,10,10,0,1,0,"[5, 3]",0
9,9,10,2,2,rel2,3,4,rel,irr,irr,rel,mid1,irr,irr,mid4,1,4,5,2,-15,0,0,25,25,0,0,-15,-15,0,0,25,22,21,23,28,4,5,1,6,13.0,10,10,0,1,0,"[5, 3]",0
10,10,3,2,1,rel2,3,4,irr,rel,irr,rel,irr,mid4,irr,mid1,3,2,6,1,0,-15,0,25,0,-15,0,25,0,25,0,-15,29,28,30,22,2,6,3,4,8.0,10,10,0,1,1,"[5, 3]",0
11,11,13,2,1,rel2,3,4,irr,irr,rel,irr,irr,irr,mid1,irr,6,4,1,5,0,0,25,0,0,0,25,0,0,0,-15,0,30,21,22,23,3,5,4,1,26.0,25,-15,0,1,1,"[5, 3]",0
12,12,16,2,2,rel2,3,4,irr,rel,irr,irr,irr,mid4,irr,irr,3,2,5,6,0,25,0,0,0,-15,0,0,0,25,0,0,29,28,23,30,2,6,1,3,25.0,-15,25,1,1,0,"[5, 3]",0
13,13,14,2,2,rel2,3,4,irr,irr,rel,irr,irr,irr,mid1,irr,3,4,1,5,0,0,-15,0,0,0,25,0,0,0,-15,0,29,21,22,23,2,5,4,1,-13.0,25,-15,0,1,1,"[5, 3]",1
14,14,17,2,1,rel2,3,4,irr,irr,rel,irr,irr,irr,mid1,irr,3,5,1,4,0,0,25,0,0,0,25,0,0,0,-15,0,29,23,22,21,2,1,4,5,25.0,25,-15,1,1,1,"[5, 3]",0
15,15,8,2,2,rel2,3,4,rel,irr,irr,rel,mid1,irr,irr,mid4,1,3,4,2,-15,0,0,25,25,0,0,-15,-15,0,0,25,22,29,21,28,4,2,5,6,7.0,10,10,0,1,0,"[5, 3]",0
16,16,15,2,1,rel2,3,4,rel,irr,irr,rel,mid1,irr,irr,mid4,1,6,5,2,25,0,0,-15,25,0,0,-15,-15,0,0,25,22,30,23,28,4,3,1,6,11.0,10,10,1,1,0,"[5, 3]",0
17,17,9,2,1,rel2,3,4,irr,irr,rel,irr,irr,irr,mid4,irr,5,4,2,6,0,0,-15,0,0,0,-15,0,0,0,25,0,23,21,28,30,1,5,6,3,-13.0,-15,25,1,1,1,"[5, 3]",0
18,18,11,2,1,rel2,3,4,rel,irr,irr,irr,mid4,irr,irr,irr,2,6,5,4,-15,0,0,0,-15,0,0,0,25,0,0,0,28,30,23,21,6,3,1,5,-13.0,-15,25,1,1,1,"[5, 3]",0
19,19,7,2,1,rel2,3,4,rel,irr,irr,irr,mid4,irr,irr,irr,2,6,5,3,-15,0,0,0,-15,0,0,0,25,0,0,0,28,30,23,29,6,3,1,2,-16.0,-15,25,0,1,0,"[5, 3]",0
