,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,23,2,1,rel2,1,2,irr,rel,irr,low3,4,1,0,15,0,15,0,-5,23,26,4,2,14.0,15,-5,0,1,0,"[1, 0]",0
1,1,16,2,2,rel2,1,2,irr,irr,irr,irr,3,4,0,0,0,0,0,0,30,23,6,4,0.0,0,0,0,0,0,"[1, 0]",0
2,2,34,2,2,rel2,1,2,rel,irr,low3,irr,1,4,-5,0,15,0,-5,0,26,23,2,4,-4.0,15,-5,0,1,0,"[1, 0]",0
3,3,29,2,1,rel2,1,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,23,27,4,3,-3.0,0,0,0,0,0,"[1, 0]",0
4,4,4,2,2,rel2,1,2,irr,irr,irr,irr,5,3,0,0,0,0,0,0,22,30,5,6,-1.0,0,0,0,0,0,"[1, 0]",0
5,5,47,2,1,rel2,1,2,irr,irr,irr,irr,3,6,0,0,0,0,0,0,30,27,6,3,0.0,0,0,0,0,0,"[1, 0]",0
6,6,57,2,1,rel2,1,2,rel,irr,high4,irr,2,5,-20,0,-20,0,40,0,25,22,1,5,-19.0,-20,40,0,1,0,"[1, 0]",0
7,7,58,2,2,rel2,1,2,irr,rel,irr,low3,4,1,0,-5,0,15,0,-5,23,26,4,2,-5.0,15,-5,0,1,0,"[1, 0]",0
8,8,41,2,1,rel2,1,2,rel,irr,low3,irr,1,6,15,0,15,0,-5,0,26,27,2,3,15.0,15,-5,0,1,0,"[1, 0]",0
9,9,19,2,1,rel2,1,2,irr,rel,irr,low3,3,1,0,15,0,15,0,-5,30,26,6,2,15.0,15,-5,0,1,0,"[1, 0]",0
10,10,20,2,2,rel2,1,2,irr,rel,irr,low3,4,1,0,-5,0,15,0,-5,23,26,4,2,-6.0,15,-5,0,1,0,"[1, 0]",0
