,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli
0,0,37,3,1,rel3,2,2,rel,rel,mid1,mid4,1,2,25,-15,25,-15,-15,25,34,36,3,2,11.0,10,10,0,1,0,"[2, 3, 1]"
1,1,42,3,2,rel3,2,2,irr,rel,irr,high2,4,3,0,20,0,-40,0,20,37,38,5,4,22.0,-40,20,0,1,0,"[2, 3, 1]"
2,2,55,3,1,rel3,2,2,rel,rel,high2,mid4,3,2,-40,-15,-40,-15,20,25,38,36,4,2,-54.0,-55,45,0,1,0,"[2, 3, 1]"
3,3,52,3,2,rel3,2,2,rel,irr,high2,irr,3,6,20,0,-40,0,20,0,38,40,4,1,21.0,-40,20,0,1,0,"[2, 3, 1]"
4,4,5,3,1,rel3,2,2,rel,irr,mid4,irr,2,6,-15,0,-15,0,25,0,36,40,2,1,-14.0,-15,25,0,1,0,"[2, 3, 1]"
5,5,33,3,1,rel3,2,2,rel,irr,high2,irr,3,4,-40,0,-40,0,20,0,38,37,4,5,-35.0,-40,20,0,1,0,"[2, 3, 1]"
6,6,24,3,2,rel3,2,2,rel,rel,mid4,mid1,2,1,25,-15,-15,25,25,-15,36,34,2,3,12.0,10,10,0,1,0,"[2, 3, 1]"
7,7,58,3,2,rel3,2,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,40,37,1,5,-2.0,0,0,0,0,0,"[2, 3, 1]"
8,8,60,3,2,rel3,2,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,37,31,5,6,3.0,0,0,0,0,0,"[2, 3, 1]"
9,9,1,3,1,rel3,2,2,rel,rel,high2,mid4,3,2,-40,-15,-40,-15,20,25,38,36,4,2,-54.0,-55,45,0,1,0,"[2, 3, 1]"
10,10,46,3,2,rel3,2,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,31,37,6,5,2.0,0,0,0,0,0,"[2, 3, 1]"
11,11,48,3,2,rel3,2,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,31,37,6,5,1.0,0,0,0,0,0,"[2, 3, 1]"
12,12,21,3,1,rel3,2,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,31,37,6,5,-1.0,0,0,0,0,0,"[2, 3, 1]"
13,13,29,3,1,rel3,2,2,rel,irr,mid1,irr,1,6,25,0,25,0,-15,0,34,40,3,1,27.0,25,-15,0,1,0,"[2, 3, 1]"
14,14,50,3,2,rel3,2,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,40,31,1,6,1.0,0,0,0,0,0,"[2, 3, 1]"
15,15,53,3,1,rel3,2,2,rel,rel,mid1,high2,1,3,25,-40,25,-40,-15,20,34,38,3,4,-16.0,-15,5,0,1,1,"[2, 3, 1]"
16,16,57,3,1,rel3,2,2,irr,rel,irr,high2,4,3,0,-40,0,-40,0,20,37,38,5,4,-41.0,-40,20,0,1,1,"[2, 3, 1]"
17,17,2,3,2,rel3,2,2,rel,irr,high2,irr,3,4,20,0,-40,0,20,0,38,37,4,5,19.0,-40,20,0,1,0,"[2, 3, 1]"
18,18,3,3,1,rel3,2,2,rel,irr,mid4,irr,2,6,-15,0,-15,0,25,0,36,40,2,1,-14.0,-15,25,0,1,0,"[2, 3, 1]"
19,19,25,3,1,rel3,2,2,rel,irr,high2,irr,3,6,-40,0,-40,0,20,0,38,40,4,1,-38.0,-40,20,0,1,0,"[2, 3, 1]"
20,20,38,3,2,rel3,2,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,31,37,6,5,-3.0,0,0,0,0,0,"[2, 3, 1]"
21,21,20,3,2,rel3,2,2,rel,rel,mid4,high2,2,3,25,20,-15,-40,25,20,36,38,2,4,47.0,-55,45,0,1,0,"[2, 3, 1]"
22,22,22,3,2,rel3,2,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,37,31,5,6,1.0,0,0,0,0,0,"[2, 3, 1]"
23,23,44,3,2,rel3,2,2,irr,rel,irr,high2,5,3,0,20,0,-40,0,20,31,38,6,4,21.0,-40,20,0,1,1,"[2, 3, 1]"
24,24,56,3,2,rel3,2,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,31,40,6,1,2.0,0,0,0,0,0,"[2, 3, 1]"
25,25,32,3,2,rel3,2,2,irr,rel,irr,high2,5,3,0,20,0,-40,0,20,31,38,6,4,25.0,-40,20,1,1,0,"[2, 3, 1]"
26,26,9,3,1,rel3,2,2,irr,rel,irr,mid1,5,1,0,25,0,25,0,-15,31,34,6,3,24.0,25,-15,0,1,0,"[2, 3, 1]"
