,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,12,2,2,rel2,4,4,irr,irr,irr,rel,irr,irr,irr,low1,6,4,5,1,0,0,0,-15,0,0,0,5,0,0,0,-15,25,24,27,26,3,6,4,5,-16.0,5,-15,0,1,0,"[4, 0]",0
1,1,9,2,1,rel2,4,4,irr,rel,rel,irr,irr,mid2,low1,irr,3,2,1,4,0,-25,5,0,0,-25,5,0,0,15,-15,0,29,28,26,24,2,1,5,6,-22.0,-20,0,0,1,0,"[4, 0]",0
2,2,6,2,2,rel2,4,4,irr,irr,rel,irr,irr,irr,mid2,irr,5,3,2,6,0,0,15,0,0,0,-25,0,0,0,15,0,27,29,28,25,4,2,1,3,15.0,-25,15,0,1,0,"[4, 0]",0
3,3,1,2,1,rel2,4,4,rel,irr,irr,irr,low1,irr,irr,irr,1,4,3,5,5,0,0,0,5,0,0,0,-15,0,0,0,26,24,29,27,5,6,2,4,4.0,5,-15,0,1,0,"[4, 0]",0
4,4,14,2,2,rel2,4,4,irr,rel,rel,irr,irr,low1,mid2,irr,5,1,2,4,0,-15,15,0,0,5,-25,0,0,-15,15,0,27,26,28,24,4,5,1,6,3.0,-20,0,0,1,1,"[4, 0]",0
5,5,13,2,1,rel2,4,4,rel,irr,irr,irr,low1,irr,irr,irr,1,4,3,6,5,0,0,0,5,0,0,0,-15,0,0,0,26,24,29,25,5,6,2,3,6.0,5,-15,0,1,0,"[4, 0]",0
6,6,16,2,2,rel2,4,4,irr,rel,irr,irr,irr,low1,irr,irr,4,1,3,6,0,-15,0,0,0,5,0,0,0,-15,0,0,24,26,29,25,6,5,2,3,-16.0,5,-15,1,1,0,"[4, 0]",1
7,7,3,2,1,rel2,4,4,irr,rel,irr,rel,irr,mid2,irr,low1,3,2,6,1,0,-25,0,5,0,-25,0,5,0,15,0,-15,29,28,25,26,2,1,3,5,-19.0,-20,0,0,1,1,"[4, 0]",0
8,8,7,2,1,rel2,4,4,irr,rel,irr,irr,irr,mid2,irr,irr,4,2,5,3,0,-25,0,0,0,-25,0,0,0,15,0,0,24,28,27,29,6,1,4,2,-25.0,-25,15,1,1,0,"[4, 0]",0
9,9,4,2,2,rel2,4,4,irr,irr,rel,irr,irr,irr,low1,irr,4,5,1,6,0,0,-15,0,0,0,5,0,0,0,-15,0,24,27,26,25,6,4,5,3,-15.0,5,-15,0,1,0,"[4, 0]",0
10,10,2,2,2,rel2,4,4,irr,rel,irr,rel,irr,mid2,irr,low1,3,2,4,1,0,15,0,-15,0,-25,0,5,0,15,0,-15,29,28,24,26,2,1,6,5,2.0,-20,0,0,1,1,"[4, 0]",0
11,11,20,2,2,rel2,4,4,irr,irr,irr,irr,irr,irr,irr,irr,5,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,27,24,25,29,4,6,3,2,-1.0,0,0,1,0,0,"[4, 0]",0
12,12,8,2,2,rel2,4,4,irr,irr,rel,irr,irr,irr,mid2,irr,6,4,2,3,0,0,15,0,0,0,-25,0,0,0,15,0,25,24,28,29,3,6,1,2,14.0,-25,15,1,1,1,"[4, 0]",0
13,13,10,2,2,rel2,4,4,irr,irr,rel,irr,irr,irr,mid2,irr,5,6,2,4,0,0,15,0,0,0,-25,0,0,0,15,0,27,25,28,24,4,3,1,6,15.0,-25,15,1,1,1,"[4, 0]",1
14,14,11,2,1,rel2,4,4,rel,irr,irr,irr,mid2,irr,irr,irr,2,3,4,6,-25,0,0,0,-25,0,0,0,15,0,0,0,28,29,24,25,1,2,6,3,-27.0,-25,15,1,1,0,"[4, 0]",0
15,15,18,2,2,rel2,4,4,irr,irr,rel,irr,irr,irr,mid2,irr,6,4,2,3,0,0,15,0,0,0,-25,0,0,0,15,0,25,24,28,29,3,6,1,2,12.0,-25,15,0,1,1,"[4, 0]",0
16,16,19,2,1,rel2,4,4,irr,rel,irr,rel,irr,mid2,irr,low1,5,2,3,1,0,-25,0,5,0,-25,0,5,0,15,0,-15,27,28,29,26,4,1,2,5,-21.0,-20,0,1,1,1,"[4, 0]",0
17,17,17,2,1,rel2,4,4,irr,rel,rel,irr,irr,low1,mid2,irr,4,1,2,5,0,5,-25,0,0,5,-25,0,0,-15,15,0,24,26,28,27,6,5,1,4,-19.0,-20,0,1,1,0,"[4, 0]",0
18,18,15,2,1,rel2,4,4,irr,irr,irr,rel,irr,irr,irr,mid2,3,6,5,2,0,0,0,-25,0,0,0,-25,0,0,0,15,29,25,27,28,2,3,4,1,-24.0,-25,15,0,1,0,"[4, 0]",0
19,19,5,2,1,rel2,4,4,irr,irr,rel,irr,irr,irr,low1,irr,6,5,1,3,0,0,5,0,0,0,5,0,0,0,-15,0,25,27,26,29,3,4,5,2,3.0,5,-15,0,1,0,"[4, 0]",0
