,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,3,3,1,rel3,0,4,rel,irr,irr,rel,high1,irr,irr,mid4,1,4,5,3,40,0,0,-15,40,0,0,-15,-20,0,0,25,31,36,34,37,1,5,2,6,28.0,25,5,0,1,0,"[0, 5, 2]",0
1,1,10,3,2,rel3,0,4,irr,rel,irr,rel,irr,low1,irr,mid4,4,2,6,3,0,-15,0,25,0,5,0,-15,0,-15,0,25,36,40,38,37,5,3,4,6,12.0,-10,10,0,1,0,"[0, 5, 2]",0
2,2,14,3,2,rel3,0,4,irr,rel,irr,irr,irr,high1,irr,irr,5,1,4,6,0,-20,0,0,0,40,0,0,0,-20,0,0,34,31,36,38,2,1,5,4,-21.0,40,-20,0,1,0,"[0, 5, 2]",0
3,3,9,3,1,rel3,0,4,rel,irr,rel,irr,high1,irr,low1,irr,1,4,2,6,40,0,5,0,40,0,5,0,-20,0,-15,0,31,36,40,38,1,5,3,4,44.0,45,-35,0,1,0,"[0, 5, 2]",0
4,4,6,3,2,rel3,0,4,rel,irr,irr,irr,mid4,irr,irr,irr,3,4,5,6,25,0,0,0,-15,0,0,0,25,0,0,0,37,36,34,38,6,5,2,4,31.0,-15,25,0,1,0,"[0, 5, 2]",0
5,5,17,3,1,rel3,0,4,rel,rel,irr,irr,high1,mid4,irr,irr,1,3,6,4,40,-15,0,0,40,-15,0,0,-20,25,0,0,31,37,38,36,1,6,4,5,26.0,25,5,0,1,1,"[0, 5, 2]",0
6,6,8,3,2,rel3,0,4,rel,irr,rel,irr,low1,irr,mid4,irr,2,5,3,6,-15,0,25,0,5,0,-15,0,-15,0,25,0,40,34,37,38,3,2,6,4,9.0,-10,10,0,1,0,"[0, 5, 2]",1
7,7,11,3,1,rel3,0,4,irr,irr,rel,rel,irr,irr,low1,mid4,5,6,2,3,0,0,5,-15,0,0,5,-15,0,0,-15,25,34,38,40,37,2,4,3,6,-12.0,-10,10,0,1,0,"[0, 5, 2]",0
8,8,12,3,2,rel3,0,4,rel,rel,irr,rel,high1,mid4,irr,low1,1,3,5,2,-20,25,0,-15,40,-15,0,5,-20,25,0,-15,31,37,34,40,1,6,2,3,-8.0,30,-10,0,1,0,"[0, 5, 2]",0
9,9,5,3,1,rel3,0,4,rel,irr,irr,irr,high1,irr,irr,irr,1,4,6,5,40,0,0,0,40,0,0,0,-20,0,0,0,31,36,38,34,1,5,4,2,40.0,40,-20,1,1,0,"[0, 5, 2]",0
10,10,19,3,1,rel3,0,4,rel,rel,irr,rel,low1,high1,irr,mid4,2,1,6,3,5,40,0,-15,5,40,0,-15,-15,-20,0,25,40,31,38,37,3,1,4,6,27.0,30,-10,1,1,1,"[0, 5, 2]",0
11,11,4,3,2,rel3,0,4,irr,irr,irr,rel,irr,irr,irr,high1,6,4,5,1,0,0,0,-20,0,0,0,40,0,0,0,-20,38,36,34,31,4,5,2,1,-21.0,40,-20,0,1,1,"[0, 5, 2]",0
12,12,1,3,1,rel3,0,4,irr,rel,rel,irr,irr,mid4,low1,irr,5,3,2,4,0,-15,5,0,0,-15,5,0,0,25,-15,0,34,37,40,36,2,6,3,5,-8.0,-10,10,1,1,1,"[0, 5, 2]",0
13,13,7,3,1,rel3,0,4,rel,rel,irr,irr,low1,high1,irr,irr,2,1,5,6,5,40,0,0,5,40,0,0,-15,-20,0,0,40,31,34,38,3,1,2,4,45.0,45,-35,1,1,0,"[0, 5, 2]",1
14,14,16,3,2,rel3,0,4,rel,irr,irr,rel,high1,irr,irr,low1,1,4,6,2,-20,0,0,-15,40,0,0,5,-20,0,0,-15,31,36,38,40,1,5,4,3,-34.0,45,-35,0,1,0,"[0, 5, 2]",0
15,15,18,3,2,rel3,0,4,rel,irr,rel,rel,high1,irr,mid4,low1,1,6,3,2,-20,0,25,-15,40,0,-15,5,-20,0,25,-15,31,38,37,40,1,4,6,3,-8.0,30,-10,1,1,1,"[0, 5, 2]",0
16,16,20,3,2,rel3,0,4,irr,rel,irr,rel,irr,low1,irr,mid4,6,2,4,3,0,-15,0,25,0,5,0,-15,0,-15,0,25,38,40,36,37,4,3,5,6,8.0,-10,10,0,1,1,"[0, 5, 2]",0
17,17,15,3,1,rel3,0,4,rel,irr,irr,irr,mid4,irr,irr,irr,3,6,4,5,-15,0,0,0,-15,0,0,0,25,0,0,0,37,38,36,34,6,4,5,2,-16.0,-15,25,1,1,1,"[0, 5, 2]",0
18,18,2,3,2,rel3,0,4,rel,rel,irr,rel,mid4,low1,irr,high1,3,2,6,1,25,-15,0,-20,-15,5,0,40,25,-15,0,-20,37,40,38,31,6,3,4,1,-10.0,30,-10,0,1,1,"[0, 5, 2]",0
19,19,13,3,1,rel3,0,4,irr,rel,irr,rel,irr,high1,irr,low1,4,1,6,2,0,40,0,5,0,40,0,5,0,-20,0,-15,36,31,38,40,5,1,4,3,45.0,45,-35,1,1,0,"[0, 5, 2]",0
