,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,2,1,2,rel1,5,2,irr,irr,irr,irr,4,3,0,0,0,0,0,0,11,20,1,2,0,0,0,0,0,0,[5],0
1,1,10,1,2,rel1,5,2,irr,rel,irr,low3,2,1,0,-5,0,15,0,-5,17,18,3,6,-5,15,-5,0,1,0,[5],0
2,2,11,1,1,rel1,5,2,irr,irr,irr,irr,5,2,0,0,0,0,0,0,19,17,5,3,0,0,0,0,0,0,[5],0
3,3,3,1,1,rel1,5,2,irr,irr,irr,irr,6,3,0,0,0,0,0,0,14,20,4,2,0,0,0,0,0,0,[5],0
4,4,5,1,1,rel1,5,2,irr,rel,irr,low3,4,1,0,15,0,15,0,-5,11,18,1,6,15,15,-5,0,1,0,[5],0
5,5,4,1,2,rel1,5,2,rel,irr,low3,irr,1,3,-5,0,15,0,-5,0,18,20,6,2,-5,15,-5,0,1,0,[5],1
6,6,1,1,1,rel1,5,2,irr,irr,irr,irr,2,3,0,0,0,0,0,0,17,20,3,2,0,0,0,0,0,0,[5],0
7,7,13,1,1,rel1,5,2,rel,irr,low3,irr,1,2,15,0,15,0,-5,0,18,17,6,3,15,15,-5,0,1,0,[5],0
8,8,7,1,1,rel1,5,2,rel,irr,low3,irr,1,4,15,0,15,0,-5,0,18,11,6,1,15,15,-5,0,1,0,[5],0
9,9,14,1,2,rel1,5,2,rel,irr,low3,irr,1,3,-5,0,15,0,-5,0,18,20,6,2,-5,15,-5,0,1,0,[5],0
10,10,15,1,1,rel1,5,2,rel,irr,low3,irr,1,6,15,0,15,0,-5,0,18,14,6,4,15,15,-5,1,1,0,[5],1
11,11,12,1,2,rel1,5,2,rel,irr,low3,irr,1,3,-5,0,15,0,-5,0,18,20,6,2,-5,15,-5,1,1,0,[5],0
12,12,9,1,1,rel1,5,2,irr,irr,irr,irr,3,2,0,0,0,0,0,0,20,17,2,3,0,0,0,1,0,0,[5],0
13,13,6,1,2,rel1,5,2,rel,irr,low3,irr,1,6,-5,0,15,0,-5,0,18,14,6,4,-5,15,-5,1,1,0,[5],0
14,14,8,1,2,rel1,5,2,irr,irr,irr,irr,3,2,0,0,0,0,0,0,20,17,2,3,0,0,0,1,0,0,[5],0
15,15,16,1,2,rel1,5,2,irr,rel,irr,low3,2,1,0,-5,0,15,0,-5,17,18,3,6,-5,15,-5,1,1,0,[5],0
