,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,12,3,2,rel3,3,4,irr,irr,irr,rel,irr,irr,irr,mid2,6,5,4,3,0,0,0,15,0,0,0,-25,0,0,0,15,35,39,37,31,6,1,3,2,18.0,-25,15,0,1,0,"[3, 4, 1]",0
1,1,6,3,2,rel3,3,4,rel,irr,rel,irr,high1,irr,mid4,irr,1,6,2,4,-20,0,25,0,40,0,-15,0,-20,0,25,0,38,35,33,37,4,6,5,3,7.0,25,5,0,1,0,"[3, 4, 1]",0
2,2,15,3,1,rel3,3,4,rel,irr,irr,rel,high1,irr,irr,mid4,1,6,4,2,40,0,0,-15,40,0,0,-15,-20,0,0,25,38,35,37,33,4,6,3,5,26.0,25,5,0,1,0,"[3, 4, 1]",0
3,3,8,3,2,rel3,3,4,rel,irr,irr,rel,high1,irr,irr,mid4,1,4,5,2,-20,0,0,25,40,0,0,-15,-20,0,0,25,38,37,39,33,4,3,1,5,6.0,25,5,0,1,0,"[3, 4, 1]",0
4,4,10,3,2,rel3,3,4,irr,rel,irr,irr,irr,mid4,irr,irr,6,2,5,4,0,25,0,0,0,-15,0,0,0,25,0,0,35,33,39,37,6,5,1,3,25.0,-15,25,0,1,1,"[3, 4, 1]",0
5,5,17,3,1,rel3,3,4,irr,rel,irr,irr,irr,mid4,irr,irr,4,2,5,6,0,-15,0,0,0,-15,0,0,0,25,0,0,37,33,39,35,3,5,1,6,-16.0,-15,25,0,1,0,"[3, 4, 1]",0
6,6,7,3,1,rel3,3,4,rel,rel,irr,irr,mid4,high1,irr,irr,2,1,6,4,-15,40,0,0,-15,40,0,0,25,-20,0,0,33,38,35,37,5,4,6,3,21.0,25,5,0,1,0,"[3, 4, 1]",1
7,7,18,3,2,rel3,3,4,irr,rel,irr,rel,irr,mid4,irr,high1,4,2,6,1,0,25,0,-20,0,-15,0,40,0,25,0,-20,37,33,35,38,3,5,6,4,8.0,25,5,0,1,0,"[3, 4, 1]",0
8,8,13,3,1,rel3,3,4,rel,rel,irr,rel,high1,mid4,irr,mid2,1,2,4,3,40,-15,0,-25,40,-15,0,-25,-20,25,0,15,38,33,37,31,4,5,3,2,1.0,0,20,0,1,0,"[3, 4, 1]",0
9,9,2,3,2,rel3,3,4,irr,rel,irr,irr,irr,high1,irr,irr,6,1,5,4,0,-20,0,0,0,40,0,0,0,-20,0,0,35,38,39,37,6,4,1,3,-23.0,40,-20,0,1,0,"[3, 4, 1]",0
