,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,50,2,2,rel2,2,2,irr,rel,irr,mid4,4,2,0,25,0,-15,0,25,22,23,1,5,25.0,-15,25,0,1,0,"[4, 2]",0
1,1,41,2,1,rel2,2,2,irr,rel,irr,mid1,6,1,0,25,0,25,0,-15,21,25,6,3,21.0,25,-15,0,1,0,"[4, 2]",0
2,2,43,2,1,rel2,2,2,irr,irr,irr,irr,3,5,0,0,0,0,0,0,27,29,2,4,-1.0,0,0,0,0,0,"[4, 2]",0
3,3,60,2,2,rel2,2,2,irr,rel,irr,mid4,5,2,0,25,0,-15,0,25,29,23,4,5,22.0,-15,25,0,1,0,"[4, 2]",0
4,4,11,2,1,rel2,2,2,rel,irr,mid4,irr,2,6,-15,0,-15,0,25,0,23,21,5,6,-18.0,-15,25,0,1,0,"[4, 2]",0
5,5,51,2,1,rel2,2,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,21,22,6,1,2.0,0,0,0,0,0,"[4, 2]",0
6,6,21,2,1,rel2,2,2,irr,rel,irr,mid1,6,1,0,25,0,25,0,-15,21,25,6,3,24.0,25,-15,0,1,0,"[4, 2]",0
7,7,53,2,1,rel2,2,2,irr,rel,irr,mid4,6,2,0,-15,0,-15,0,25,21,23,6,5,-16.0,-15,25,0,1,0,"[4, 2]",0
8,8,7,2,1,rel2,2,2,irr,irr,irr,irr,6,3,0,0,0,0,0,0,21,27,6,2,-3.0,0,0,0,0,0,"[4, 2]",0
9,9,25,2,1,rel2,2,2,rel,irr,mid1,irr,1,3,25,0,25,0,-15,0,25,27,3,2,22.0,25,-15,0,1,0,"[4, 2]",0
10,10,18,2,2,rel2,2,2,irr,rel,irr,mid1,3,1,0,-15,0,25,0,-15,27,25,2,3,-15.0,25,-15,0,1,0,"[4, 2]",0
11,11,4,2,2,rel2,2,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,29,22,4,1,1.0,0,0,0,0,0,"[4, 2]",0
12,12,34,2,2,rel2,2,2,irr,rel,irr,mid1,6,1,0,-15,0,25,0,-15,21,25,6,3,-15.0,25,-15,0,1,1,"[4, 2]",0
13,13,29,2,1,rel2,2,2,irr,rel,irr,mid1,5,1,0,25,0,25,0,-15,29,25,4,3,27.0,25,-15,0,1,0,"[4, 2]",0
14,14,10,2,2,rel2,2,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,22,21,1,6,1.0,0,0,0,0,0,"[4, 2]",0
15,15,8,2,2,rel2,2,2,irr,irr,irr,irr,3,5,0,0,0,0,0,0,27,29,2,4,0.0,0,0,0,0,0,"[4, 2]",0
16,16,52,2,2,rel2,2,2,irr,irr,irr,irr,3,5,0,0,0,0,0,0,27,29,2,4,3.0,0,0,0,0,0,"[4, 2]",0
17,17,33,2,1,rel2,2,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,29,22,4,1,-1.0,0,0,0,0,0,"[4, 2]",0
18,18,37,2,1,rel2,2,2,rel,irr,mid4,irr,2,5,-15,0,-15,0,25,0,23,29,5,4,-17.0,-15,25,0,1,1,"[4, 2]",0
19,19,59,2,1,rel2,2,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,22,21,1,6,3.0,0,0,1,0,0,"[4, 2]",1
20,20,23,2,1,rel2,2,2,irr,rel,irr,mid1,3,1,0,25,0,25,0,-15,27,25,2,3,25.0,25,-15,0,1,1,"[4, 2]",0
21,21,3,2,1,rel2,2,2,rel,irr,mid4,irr,2,3,-15,0,-15,0,25,0,23,27,5,2,-12.0,-15,25,1,1,0,"[4, 2]",0
22,22,27,2,1,rel2,2,2,irr,irr,irr,irr,3,6,0,0,0,0,0,0,27,21,2,6,-1.0,0,0,0,0,0,"[4, 2]",0
23,23,36,2,2,rel2,2,2,irr,irr,irr,irr,3,5,0,0,0,0,0,0,27,29,2,4,2.0,0,0,0,0,0,"[4, 2]",0
24,24,42,2,2,rel2,2,2,rel,irr,mid1,irr,1,6,-15,0,25,0,-15,0,25,21,3,6,-17.0,25,-15,0,1,0,"[4, 2]",0
25,25,17,2,1,rel2,2,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,22,29,1,4,3.0,0,0,0,0,0,"[4, 2]",0
26,26,22,2,2,rel2,2,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,21,29,6,4,1.0,0,0,0,0,0,"[4, 2]",0
27,27,38,2,2,rel2,2,2,irr,rel,irr,mid1,5,1,0,-15,0,25,0,-15,29,25,4,3,-16.0,25,-15,0,1,1,"[4, 2]",0
28,28,40,2,2,rel2,2,2,irr,rel,irr,mid1,4,1,0,-15,0,25,0,-15,22,25,1,3,-14.0,25,-15,0,1,0,"[4, 2]",0
29,29,1,2,1,rel2,2,2,rel,irr,mid4,irr,2,3,-15,0,-15,0,25,0,23,27,5,2,-14.0,-15,25,1,1,1,"[4, 2]",0
30,30,39,2,1,rel2,2,2,irr,irr,irr,irr,3,4,0,0,0,0,0,0,27,22,2,1,-2.0,0,0,0,0,0,"[4, 2]",0
31,31,49,2,1,rel2,2,2,rel,irr,mid4,irr,2,4,-15,0,-15,0,25,0,23,22,5,1,-18.0,-15,25,0,1,1,"[4, 2]",0
32,32,14,2,2,rel2,2,2,irr,rel,irr,mid1,5,1,0,-15,0,25,0,-15,29,25,4,3,-15.0,25,-15,0,1,1,"[4, 2]",0
33,33,6,2,2,rel2,2,2,irr,irr,irr,irr,3,4,0,0,0,0,0,0,27,22,2,1,2.0,0,0,0,0,0,"[4, 2]",0
34,34,57,2,1,rel2,2,2,irr,irr,irr,irr,6,3,0,0,0,0,0,0,21,27,6,2,-1.0,0,0,0,0,0,"[4, 2]",0
35,35,9,2,1,rel2,2,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,22,21,1,6,2.0,0,0,0,0,0,"[4, 2]",0
36,36,55,2,1,rel2,2,2,irr,rel,irr,mid4,5,2,0,-15,0,-15,0,25,29,23,4,5,-14.0,-15,25,1,1,1,"[4, 2]",0
37,37,45,2,1,rel2,2,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,22,21,1,6,5.0,0,0,1,0,0,"[4, 2]",0
38,38,20,2,2,rel2,2,2,irr,rel,irr,mid1,6,1,0,-15,0,25,0,-15,21,25,6,3,-19.0,25,-15,0,1,1,"[4, 2]",0
39,39,54,2,2,rel2,2,2,rel,irr,mid4,irr,2,3,25,0,-15,0,25,0,23,27,5,2,27.0,-15,25,0,1,1,"[4, 2]",1
40,40,47,2,1,rel2,2,2,rel,irr,mid1,irr,1,3,25,0,25,0,-15,0,25,27,3,2,26.0,25,-15,0,1,0,"[4, 2]",0
41,41,46,2,2,rel2,2,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,22,29,1,4,1.0,0,0,0,0,0,"[4, 2]",0
42,42,15,2,1,rel2,2,2,irr,irr,irr,irr,3,6,0,0,0,0,0,0,27,21,2,6,1.0,0,0,1,0,0,"[4, 2]",0
