,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli
0,0,14,3,2,rel3,2,2,irr,rel,irr,low3,6,1,0,-5,0,15,0,-5,37,35,6,3,-4.0,15,-5,0,1,0,"[2, 0, 1]"
1,1,42,3,2,rel3,2,2,rel,rel,low4,mid4,3,2,5,25,-15,-15,5,25,31,38,2,1,30.0,-30,30,0,1,0,"[2, 0, 1]"
2,2,36,3,2,rel3,2,2,rel,rel,low3,low4,1,3,-5,5,15,-15,-5,5,35,31,3,2,2.0,0,0,0,1,0,"[2, 0, 1]"
3,3,47,3,1,rel3,2,2,rel,irr,low3,irr,1,5,15,0,15,0,-5,0,35,33,3,4,12.0,15,-5,0,1,0,"[2, 0, 1]"
4,4,11,3,1,rel3,2,2,rel,rel,low3,low4,1,3,15,-15,15,-15,-5,5,35,31,3,2,-1.0,0,0,0,1,0,"[2, 0, 1]"
5,5,52,3,2,rel3,2,2,rel,irr,low4,irr,3,4,5,0,-15,0,5,0,31,36,2,5,4.0,-15,5,0,1,0,"[2, 0, 1]"
6,6,5,3,1,rel3,2,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,33,37,4,6,-4.0,0,0,0,0,0,"[2, 0, 1]"
7,7,4,3,2,rel3,2,2,rel,rel,mid4,low4,2,3,25,5,-15,-15,25,5,38,31,1,2,32.0,-30,30,0,1,0,"[2, 0, 1]"
8,8,34,3,2,rel3,2,2,irr,rel,irr,mid4,4,2,0,25,0,-15,0,25,36,38,5,1,25.0,-15,25,0,1,0,"[2, 0, 1]"
9,9,15,3,1,rel3,2,2,irr,rel,irr,mid4,6,2,0,-15,0,-15,0,25,37,38,6,1,-15.0,-15,25,0,1,0,"[2, 0, 1]"
10,10,22,3,2,rel3,2,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,33,37,4,6,-3.0,0,0,0,0,0,"[2, 0, 1]"
11,11,7,3,1,rel3,2,2,rel,irr,mid4,irr,2,6,-15,0,-15,0,25,0,38,37,1,6,-15.0,-15,25,0,1,0,"[2, 0, 1]"
12,12,59,3,1,rel3,2,2,irr,rel,irr,low3,6,1,0,15,0,15,0,-5,37,35,6,3,15.0,15,-5,0,1,0,"[2, 0, 1]"
13,13,29,3,1,rel3,2,2,irr,rel,irr,mid4,4,2,0,-15,0,-15,0,25,36,38,5,1,-15.0,-15,25,0,1,0,"[2, 0, 1]"
14,14,43,3,1,rel3,2,2,rel,irr,low3,irr,1,5,15,0,15,0,-5,0,35,33,3,4,20.0,15,-5,0,1,0,"[2, 0, 1]"
15,15,41,3,1,rel3,2,2,rel,irr,mid4,irr,2,5,-15,0,-15,0,25,0,38,33,1,4,-15.0,-15,25,0,1,0,"[2, 0, 1]"
16,16,46,3,2,rel3,2,2,rel,irr,low4,irr,3,5,5,0,-15,0,5,0,31,33,2,4,4.0,-15,5,0,1,0,"[2, 0, 1]"
17,17,60,3,2,rel3,2,2,rel,rel,low3,low4,1,3,-5,5,15,-15,-5,5,35,31,3,2,2.0,0,0,0,1,0,"[2, 0, 1]"
18,18,17,3,1,rel3,2,2,rel,irr,low3,irr,1,4,15,0,15,0,-5,0,35,36,3,5,14.0,15,-5,1,1,0,"[2, 0, 1]"
19,19,20,3,2,rel3,2,2,irr,rel,irr,mid4,6,2,0,25,0,-15,0,25,37,38,6,1,25.0,-15,25,1,1,1,"[2, 0, 1]"
20,20,6,3,2,rel3,2,2,rel,irr,low4,irr,3,4,5,0,-15,0,5,0,31,36,2,5,5.0,-15,5,0,1,0,"[2, 0, 1]"
21,21,13,3,1,rel3,2,2,rel,rel,low4,low3,3,1,-15,15,-15,15,5,-5,31,35,2,3,0.0,0,0,0,1,0,"[2, 0, 1]"
22,22,8,3,2,rel3,2,2,irr,rel,irr,mid4,4,2,0,25,0,-15,0,25,36,38,5,1,20.0,-15,25,0,1,1,"[2, 0, 1]"
23,23,27,3,1,rel3,2,2,rel,irr,low3,irr,1,5,15,0,15,0,-5,0,35,33,3,4,13.0,15,-5,0,1,1,"[2, 0, 1]"
24,24,10,3,2,rel3,2,2,rel,rel,mid4,low4,2,3,25,5,-15,-15,25,5,38,31,1,2,31.0,-30,30,0,1,0,"[2, 0, 1]"
