,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,4,2,2,rel2,2,4,irr,rel,irr,rel,irr,mid4,irr,high1,6,2,5,1,0,25,0,-20,0,-15,0,40,0,25,0,-20,26,28,25,30,1,5,4,3,7.0,25,5,0,1,0,"[4, 2]",0
1,1,9,2,1,rel2,2,4,irr,irr,rel,irr,irr,irr,mid4,irr,6,4,2,5,0,0,-15,0,0,0,-15,0,0,0,25,0,26,29,28,25,1,2,5,4,-14.0,-15,25,0,1,0,"[4, 2]",0
2,2,12,2,2,rel2,2,4,irr,irr,rel,irr,irr,irr,mid4,irr,5,3,2,4,0,0,25,0,0,0,-15,0,0,0,25,0,25,21,28,29,4,6,5,2,25.0,-15,25,0,1,0,"[4, 2]",0
3,3,6,2,2,rel2,2,4,irr,irr,irr,rel,irr,irr,irr,mid4,5,6,3,2,0,0,0,25,0,0,0,-15,0,0,0,25,25,26,21,28,4,1,6,5,29.0,-15,25,0,1,0,"[4, 2]",0
4,4,13,2,1,rel2,2,4,irr,rel,rel,irr,irr,mid4,high1,irr,4,2,1,5,0,-15,40,0,0,-15,40,0,0,25,-20,0,29,28,30,25,2,5,3,4,22.0,25,5,0,1,0,"[4, 2]",0
5,5,8,2,2,rel2,2,4,irr,rel,irr,irr,irr,high1,irr,irr,5,1,4,3,0,-20,0,0,0,40,0,0,0,-20,0,0,25,30,29,21,4,3,2,6,-17.0,40,-20,0,1,0,"[4, 2]",0
6,6,3,2,1,rel2,2,4,irr,irr,rel,irr,irr,irr,high1,irr,3,5,1,4,0,0,40,0,0,0,40,0,0,0,-20,0,21,25,30,29,6,4,3,2,40.0,40,-20,0,1,0,"[4, 2]",1
7,7,19,2,1,rel2,2,4,irr,rel,irr,irr,irr,high1,irr,irr,5,1,3,6,0,40,0,0,0,40,0,0,0,-20,0,0,25,30,21,26,4,3,6,1,40.0,40,-20,0,1,1,"[4, 2]",0
8,8,18,2,2,rel2,2,4,irr,rel,rel,irr,irr,high1,mid4,irr,3,1,2,6,0,-20,25,0,0,40,-15,0,0,-20,25,0,21,30,28,26,6,3,5,1,5.0,25,5,1,1,0,"[4, 2]",0
9,9,7,2,1,rel2,2,4,irr,rel,irr,irr,irr,mid4,irr,irr,3,2,5,4,0,-15,0,0,0,-15,0,0,0,25,0,0,21,28,25,29,6,5,4,2,-15.0,-15,25,0,1,0,"[4, 2]",0
10,10,1,2,1,rel2,2,4,rel,irr,irr,rel,mid4,irr,irr,high1,2,4,5,1,-15,0,0,40,-15,0,0,40,25,0,0,-20,28,29,25,30,5,2,4,3,29.0,25,5,0,1,0,"[4, 2]",0
11,11,5,2,1,rel2,2,4,irr,rel,rel,irr,irr,high1,mid4,irr,6,1,2,4,0,40,-15,0,0,40,-15,0,0,-20,25,0,26,30,28,29,1,3,5,2,27.0,25,5,0,1,0,"[4, 2]",0
12,12,10,2,2,rel2,2,4,rel,rel,irr,irr,mid4,high1,irr,irr,2,1,6,4,25,-20,0,0,-15,40,0,0,25,-20,0,0,28,30,26,29,5,3,1,2,5.0,25,5,1,1,1,"[4, 2]",0
13,13,2,2,2,rel2,2,4,rel,rel,irr,irr,high1,mid4,irr,irr,1,2,3,5,-20,25,0,0,40,-15,0,0,-20,25,0,0,30,28,21,25,3,5,6,4,5.0,25,5,1,1,1,"[4, 2]",1
14,14,17,2,1,rel2,2,4,rel,irr,irr,irr,mid4,irr,irr,irr,2,6,3,5,-15,0,0,0,-15,0,0,0,25,0,0,0,28,26,21,25,5,1,6,4,-13.0,-15,25,1,1,1,"[4, 2]",0
15,15,14,2,2,rel2,2,4,rel,rel,irr,irr,high1,mid4,irr,irr,1,2,6,4,-20,25,0,0,40,-15,0,0,-20,25,0,0,30,28,26,29,3,5,1,2,3.0,25,5,0,1,1,"[4, 2]",0
16,16,20,2,2,rel2,2,4,irr,irr,irr,rel,irr,irr,irr,high1,5,4,6,1,0,0,0,-20,0,0,0,40,0,0,0,-20,25,29,26,30,4,2,1,3,-22.0,40,-20,0,1,1,"[4, 2]",0
17,17,11,2,1,rel2,2,4,irr,irr,rel,irr,irr,irr,high1,irr,3,4,1,6,0,0,40,0,0,0,40,0,0,0,-20,0,21,29,30,26,6,2,3,1,43.0,40,-20,1,1,1,"[4, 2]",0
18,18,16,2,2,rel2,2,4,irr,irr,irr,rel,irr,irr,irr,mid4,6,3,5,2,0,0,0,25,0,0,0,-15,0,0,0,25,26,21,25,28,1,6,4,5,27.0,-15,25,1,1,1,"[4, 2]",0
19,19,15,2,1,rel2,2,4,irr,irr,irr,rel,irr,irr,irr,high1,6,4,5,1,0,0,0,40,0,0,0,40,0,0,0,-20,26,29,25,30,1,2,4,3,41.0,40,-20,0,1,1,"[4, 2]",0
