,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,12,4,2,rel4,5,4,irr,rel,rel,rel,irr,mid3,mid4,low2,6,1,4,3,0,-25,25,15,0,15,-15,-5,0,-25,25,15,43,46,44,50,5,6,3,1,16.0,-5,15,0,1,0,"[1, 0, 2, 5]",0
1,1,6,4,2,rel4,5,4,rel,rel,irr,rel,low1,mid3,irr,mid4,2,1,5,4,-15,-25,0,25,5,15,0,-15,-15,-25,0,25,49,46,48,44,2,6,4,3,-13.0,5,-15,0,1,0,"[1, 0, 2, 5]",0
2,2,2,4,2,rel4,5,4,irr,rel,irr,rel,irr,low1,irr,mid3,6,2,5,1,0,-15,0,-25,0,5,0,15,0,-15,0,-25,43,49,48,46,5,2,4,6,-39.0,20,-40,0,1,0,"[1, 0, 2, 5]",0
3,3,13,4,1,rel4,5,4,rel,irr,rel,rel,low2,irr,low1,mid3,3,5,2,1,-5,0,5,15,-5,0,5,15,15,0,-15,-25,50,48,49,46,1,4,2,6,14.0,15,-25,0,1,0,"[1, 0, 2, 5]",0
4,4,17,4,1,rel4,5,4,rel,rel,rel,irr,low1,low2,mid3,irr,2,3,1,6,5,-5,15,0,5,-5,15,0,-15,15,-25,0,49,50,46,43,2,1,6,5,14.0,15,-25,0,1,0,"[1, 0, 2, 5]",0
5,5,8,4,2,rel4,5,4,rel,irr,rel,rel,mid4,irr,mid3,low1,4,5,1,2,25,0,-25,-15,-15,0,15,5,25,0,-25,-15,44,48,46,49,3,4,6,2,-15.0,5,-15,0,1,0,"[1, 0, 2, 5]",0
6,6,11,4,1,rel4,5,4,irr,rel,rel,rel,irr,mid4,low1,mid3,6,4,2,1,0,-15,5,15,0,-15,5,15,0,25,-15,-25,43,44,49,46,5,3,2,6,4.0,5,-15,0,1,0,"[1, 0, 2, 5]",1
7,7,18,4,2,rel4,5,4,irr,rel,irr,rel,irr,mid3,irr,low1,6,1,5,2,0,-25,0,-15,0,15,0,5,0,-25,0,-15,43,46,48,49,5,6,4,2,-38.0,20,-40,1,1,0,"[1, 0, 2, 5]",0
8,8,7,4,1,rel4,5,4,irr,irr,rel,rel,irr,irr,mid4,mid3,5,6,4,1,0,0,-15,15,0,0,-15,15,0,0,25,-25,48,43,44,46,4,5,3,6,-1.0,0,0,0,1,0,"[1, 0, 2, 5]",0
9,9,3,4,1,rel4,5,4,rel,rel,rel,rel,low1,low2,mid3,mid4,2,3,1,4,5,-5,15,-15,5,-5,15,-15,-15,15,-25,25,49,50,46,44,2,1,6,3,-2.0,0,0,0,1,1,"[1, 0, 2, 5]",0
