,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,7,3,1,rel3,0,4,irr,rel,irr,rel,irr,low2,irr,high2,6,2,4,3,0,-5,0,-40,0,-5,0,-40,0,15,0,20,37,31,34,39,5,6,2,3,-45.0,-45,35,0,1,0,"[2, 0, 5]",0
1,1,18,3,2,rel3,0,4,irr,irr,rel,rel,irr,irr,low2,low3,6,5,2,1,0,0,15,-5,0,0,-5,15,0,0,15,-5,37,36,31,32,5,4,6,1,9.0,10,10,0,1,0,"[2, 0, 5]",0
2,2,3,3,1,rel3,0,4,rel,irr,irr,rel,high2,irr,irr,low2,3,4,6,2,-40,0,0,-5,-40,0,0,-5,20,0,0,15,39,34,37,31,3,2,5,6,-48.0,-45,35,0,1,0,"[2, 0, 5]",0
3,3,15,3,1,rel3,0,4,rel,irr,irr,irr,low3,irr,irr,irr,1,4,5,6,15,0,0,0,15,0,0,0,-5,0,0,0,32,34,36,37,1,2,4,5,16.0,15,-5,0,1,0,"[2, 0, 5]",0
4,4,14,3,2,rel3,0,4,rel,irr,irr,rel,low2,irr,irr,low3,2,4,5,1,15,0,0,-5,-5,0,0,15,15,0,0,-5,31,34,36,32,6,2,4,1,12.0,10,10,0,1,1,"[2, 0, 5]",0
5,5,20,3,2,rel3,0,4,irr,rel,rel,irr,irr,high2,low2,irr,4,3,2,5,0,20,15,0,0,-40,-5,0,0,20,15,0,34,39,31,36,2,3,6,4,36.0,-45,35,0,1,0,"[2, 0, 5]",0
6,6,8,3,2,rel3,0,4,rel,rel,irr,rel,high2,low3,irr,low2,3,1,4,2,20,-5,0,15,-40,15,0,-5,20,-5,0,15,39,32,34,31,3,1,2,6,29.0,-30,30,0,1,0,"[2, 0, 5]",1
7,7,1,3,1,rel3,0,4,rel,rel,irr,rel,high2,low3,irr,low2,3,1,4,2,-40,15,0,-5,-40,15,0,-5,20,-5,0,15,39,32,34,31,3,1,2,6,-33.0,-30,30,1,1,0,"[2, 0, 5]",0
8,8,6,3,2,rel3,0,4,irr,rel,rel,rel,irr,low2,high2,low3,6,2,3,1,0,15,20,-5,0,-5,-40,15,0,15,20,-5,37,31,39,32,5,6,3,1,29.0,-30,30,0,1,0,"[2, 0, 5]",0
9,9,5,3,1,rel3,0,4,rel,irr,rel,rel,low3,irr,high2,low2,1,4,3,2,15,0,-40,-5,15,0,-40,-5,-5,0,20,15,32,34,39,31,1,2,3,6,-29.0,-30,30,0,1,1,"[2, 0, 5]",0
10,10,11,3,1,rel3,0,4,rel,rel,rel,irr,low2,low3,high2,irr,2,1,3,4,-5,15,-40,0,-5,15,-40,0,15,-5,20,0,31,32,39,34,6,1,3,2,-29.0,-30,30,0,1,0,"[2, 0, 5]",0
11,11,13,3,1,rel3,0,4,rel,rel,irr,irr,high2,low3,irr,irr,3,1,6,4,-40,15,0,0,-40,15,0,0,20,-5,0,0,39,32,37,34,3,1,5,2,-27.0,-25,15,0,1,0,"[2, 0, 5]",0
12,12,4,3,2,rel3,0,4,irr,irr,rel,rel,irr,irr,high2,low3,5,6,3,1,0,0,20,-5,0,0,-40,15,0,0,20,-5,36,37,39,32,4,5,3,1,13.0,-25,15,1,1,1,"[2, 0, 5]",0
13,13,19,3,1,rel3,0,4,irr,rel,rel,rel,irr,high2,low2,low3,6,3,2,1,0,-40,-5,15,0,-40,-5,15,0,20,15,-5,37,39,31,32,5,3,6,1,-29.0,-30,30,1,1,1,"[2, 0, 5]",1
14,14,10,3,2,rel3,0,4,rel,rel,irr,irr,low2,low3,irr,irr,2,1,6,5,15,-5,0,0,-5,15,0,0,15,-5,0,0,31,32,37,36,6,1,5,4,12.0,10,10,0,1,1,"[2, 0, 5]",0
15,15,16,3,2,rel3,0,4,rel,irr,irr,irr,low2,irr,irr,irr,2,6,4,5,15,0,0,0,-5,0,0,0,15,0,0,0,31,37,34,36,6,5,2,4,14.0,-5,15,0,1,0,"[2, 0, 5]",0
16,16,2,3,2,rel3,0,4,rel,rel,irr,irr,high2,low3,irr,irr,3,1,6,5,20,-5,0,0,-40,15,0,0,20,-5,0,0,39,32,37,36,3,1,5,4,14.0,-25,15,1,1,0,"[2, 0, 5]",0
17,17,17,3,1,rel3,0,4,irr,rel,rel,rel,irr,low2,low3,high2,5,2,1,3,0,-5,15,-40,0,-5,15,-40,0,15,-5,20,36,31,32,39,4,6,1,3,-31.0,-30,30,0,1,0,"[2, 0, 5]",0
18,18,9,3,1,rel3,0,4,irr,irr,rel,rel,irr,irr,low3,low2,4,6,1,2,0,0,15,-5,0,0,15,-5,0,0,-5,15,34,37,32,31,2,5,1,6,12.0,10,10,0,1,0,"[2, 0, 5]",0
19,19,12,3,2,rel3,0,4,rel,rel,irr,irr,low3,low2,irr,irr,1,2,4,6,-5,15,0,0,15,-5,0,0,-5,15,0,0,32,31,34,37,1,6,2,5,12.0,10,10,1,1,1,"[2, 0, 5]",0
