,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,6,2,2,rel2,4,4,irr,rel,irr,rel,irr,high2,irr,mid1,4,2,3,1,0,20,0,-15,0,-40,0,25,0,20,0,-15,24,26,25,29,2,4,3,5,6.0,-15,5,0,1,0,"[4, 3]",0
1,1,1,2,1,rel2,4,4,irr,irr,rel,irr,irr,irr,mid1,irr,3,6,1,4,0,0,25,0,0,0,25,0,0,0,-15,0,25,21,29,24,3,1,5,2,25.0,25,-15,0,1,0,"[4, 3]",0
2,2,16,2,2,rel2,4,4,rel,irr,irr,irr,mid1,irr,irr,irr,1,3,6,5,-15,0,0,0,25,0,0,0,-15,0,0,0,29,25,21,27,5,3,1,6,-16.0,25,-15,0,1,0,"[4, 3]",0
3,3,14,2,2,rel2,4,4,rel,irr,irr,rel,high2,irr,irr,mid1,2,6,5,1,20,0,0,-15,-40,0,0,25,20,0,0,-15,26,21,27,29,4,1,6,5,5.0,-15,5,0,1,0,"[4, 3]",0
4,4,8,2,2,rel2,4,4,rel,irr,rel,irr,mid1,irr,high2,irr,1,6,2,5,-15,0,20,0,25,0,-40,0,-15,0,20,0,29,21,26,27,5,1,4,6,8.0,-15,5,0,1,1,"[4, 3]",0
5,5,7,2,1,rel2,4,4,irr,rel,irr,irr,irr,mid1,irr,irr,4,1,6,5,0,25,0,0,0,25,0,0,0,-15,0,0,24,29,21,27,2,5,1,6,23.0,25,-15,0,1,0,"[4, 3]",0
6,6,18,2,2,rel2,4,4,irr,rel,rel,irr,irr,high2,mid1,irr,5,2,1,6,0,20,-15,0,0,-40,25,0,0,20,-15,0,27,26,29,21,6,4,5,1,3.0,-15,5,0,1,0,"[4, 3]",1
7,7,11,2,1,rel2,4,4,irr,irr,irr,irr,irr,irr,irr,irr,4,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,24,21,25,27,2,1,3,6,3.0,0,0,0,0,0,"[4, 3]",0
8,8,4,2,2,rel2,4,4,irr,rel,rel,irr,irr,mid1,high2,irr,5,1,2,3,0,-15,20,0,0,25,-40,0,0,-15,20,0,27,29,26,25,6,5,4,3,7.0,-15,5,1,1,0,"[4, 3]",0
9,9,17,2,1,rel2,4,4,irr,irr,irr,rel,irr,irr,irr,high2,3,5,6,2,0,0,0,-40,0,0,0,-40,0,0,0,20,25,27,21,26,3,6,1,4,-42.0,-40,20,1,1,1,"[4, 3]",0
10,10,13,2,1,rel2,4,4,rel,irr,rel,irr,high2,irr,mid1,irr,2,3,1,4,-40,0,25,0,-40,0,25,0,20,0,-15,0,26,25,29,24,4,3,5,2,-11.0,-15,5,0,1,1,"[4, 3]",0
11,11,15,2,1,rel2,4,4,irr,irr,rel,irr,irr,irr,mid1,irr,3,5,1,6,0,0,25,0,0,0,25,0,0,0,-15,0,25,27,29,21,3,6,5,1,21.0,25,-15,0,1,1,"[4, 3]",0
12,12,2,2,2,rel2,4,4,irr,irr,irr,rel,irr,irr,irr,high2,6,4,3,2,0,0,0,20,0,0,0,-40,0,0,0,20,21,24,25,26,1,2,3,4,18.0,-40,20,1,1,0,"[4, 3]",0
13,13,9,2,1,rel2,4,4,irr,irr,rel,rel,irr,irr,high2,mid1,3,4,2,1,0,0,-40,25,0,0,-40,25,0,0,20,-15,25,24,26,29,3,2,4,5,-16.0,-15,5,1,1,1,"[4, 3]",1
14,14,20,2,2,rel2,4,4,rel,rel,irr,irr,high2,mid1,irr,irr,2,1,6,5,20,-15,0,0,-40,25,0,0,20,-15,0,0,26,29,21,27,4,5,1,6,6.0,-15,5,1,1,1,"[4, 3]",0
15,15,12,2,2,rel2,4,4,irr,irr,rel,irr,irr,irr,mid1,irr,5,4,1,3,0,0,-15,0,0,0,25,0,0,0,-15,0,27,24,29,25,6,2,5,3,-17.0,25,-15,1,1,1,"[4, 3]",0
16,16,19,2,1,rel2,4,4,irr,rel,rel,irr,irr,mid1,high2,irr,6,1,2,3,0,25,-40,0,0,25,-40,0,0,-15,20,0,21,29,26,25,1,5,4,3,-15.0,-15,5,1,1,1,"[4, 3]",0
17,17,10,2,2,rel2,4,4,irr,irr,irr,rel,irr,irr,irr,mid1,3,6,4,1,0,0,0,-15,0,0,0,25,0,0,0,-15,25,21,24,29,3,1,2,5,-14.0,25,-15,0,1,1,"[4, 3]",0
18,18,3,2,1,rel2,4,4,rel,rel,irr,irr,high2,mid1,irr,irr,2,1,4,5,-40,25,0,0,-40,25,0,0,20,-15,0,0,26,29,24,27,4,5,2,6,-14.0,-15,5,1,1,1,"[4, 3]",0
19,19,5,2,1,rel2,4,4,irr,irr,rel,irr,irr,irr,mid1,irr,6,5,1,4,0,0,25,0,0,0,25,0,0,0,-15,0,21,27,29,24,1,6,5,2,24.0,25,-15,1,1,0,"[4, 3]",0
