,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,41,3,1,rel3,4,2,irr,rel,irr,low2,6,2,0,-5,0,-5,0,15,35,31,2,4,-2.0,-5,15,0,1,0,"[5, 3, 4]",0
1,1,36,3,2,rel3,4,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,38,35,3,2,0.0,0,0,0,0,0,"[5, 3, 4]",0
2,2,49,3,1,rel3,4,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,38,35,3,2,4.0,0,0,0,0,0,"[5, 3, 4]",0
3,3,6,3,2,rel3,4,2,rel,rel,low4,mid1,3,1,5,-15,-15,25,5,-15,32,40,6,5,-10.0,10,-10,0,1,0,"[5, 3, 4]",0
4,4,52,3,2,rel3,4,2,rel,irr,low4,irr,3,6,5,0,-15,0,5,0,32,35,6,2,5.0,-15,5,0,1,0,"[5, 3, 4]",0
5,5,59,3,1,rel3,4,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,35,33,2,1,1.0,0,0,0,0,0,"[5, 3, 4]",0
6,6,13,3,1,rel3,4,2,rel,rel,low4,low2,3,2,-15,-5,-15,-5,5,15,32,31,6,4,-20.0,-20,20,0,1,0,"[5, 3, 4]",0
7,7,10,3,2,rel3,4,2,rel,irr,low2,irr,2,6,15,0,-5,0,15,0,31,35,4,2,15.0,-5,15,0,1,0,"[5, 3, 4]",0
8,8,1,3,1,rel3,4,2,rel,irr,mid1,irr,1,4,25,0,25,0,-15,0,40,33,5,1,25.0,25,-15,0,1,0,"[5, 3, 4]",0
9,9,19,3,1,rel3,4,2,rel,irr,low2,irr,2,6,-5,0,-5,0,15,0,31,35,4,2,-6.0,-5,15,0,1,0,"[5, 3, 4]",0
10,10,42,3,2,rel3,4,2,rel,rel,low4,low2,3,2,5,15,-15,-5,5,15,32,31,6,4,17.0,-20,20,0,1,0,"[5, 3, 4]",0
11,11,18,3,2,rel3,4,2,rel,irr,mid1,irr,1,4,-15,0,25,0,-15,0,40,33,5,1,-17.0,25,-15,0,1,0,"[5, 3, 4]",0
12,12,53,3,1,rel3,4,2,irr,rel,irr,low4,5,3,0,-15,0,-15,0,5,38,32,3,6,-16.0,-15,5,0,1,0,"[5, 3, 4]",0
13,13,39,3,1,rel3,4,2,rel,rel,mid1,low4,1,3,25,-15,25,-15,-15,5,40,32,5,6,10.0,10,-10,0,1,0,"[5, 3, 4]",0
14,14,50,3,2,rel3,4,2,irr,rel,irr,mid1,5,1,0,-15,0,25,0,-15,38,40,3,5,-13.0,25,-15,0,1,0,"[5, 3, 4]",0
15,15,38,3,2,rel3,4,2,irr,rel,irr,low4,6,3,0,5,0,-15,0,5,35,32,2,6,4.0,-15,5,0,1,0,"[5, 3, 4]",0
16,16,43,3,1,rel3,4,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,33,38,1,3,-2.0,0,0,0,0,0,"[5, 3, 4]",0
17,17,60,3,2,rel3,4,2,irr,rel,irr,mid1,6,1,0,-15,0,25,0,-15,35,40,2,5,-14.0,25,-15,0,1,0,"[5, 3, 4]",0
18,18,48,3,2,rel3,4,2,irr,rel,irr,low2,6,2,0,15,0,-5,0,15,35,31,2,4,13.0,-5,15,1,1,1,"[5, 3, 4]",0
19,19,11,3,1,rel3,4,2,irr,rel,irr,low2,6,2,0,-5,0,-5,0,15,35,31,2,4,-7.0,-5,15,1,1,0,"[5, 3, 4]",1
20,20,24,3,2,rel3,4,2,irr,rel,irr,mid1,6,1,0,-15,0,25,0,-15,35,40,2,5,-16.0,25,-15,0,1,0,"[5, 3, 4]",0
21,21,3,3,1,rel3,4,2,rel,irr,mid1,irr,1,6,25,0,25,0,-15,0,40,35,5,2,22.0,25,-15,1,1,0,"[5, 3, 4]",0
