,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,12,1,2,rel1,1,2,irr,irr,irr,irr,2,5,0,0,0,0,0,0,17,14,6,1,0,0,0,0,0,0,[1],0
1,1,11,1,1,rel1,1,2,irr,rel,irr,mid4,3,1,0,-15,0,-15,0,25,20,15,4,2,-15,-15,25,0,1,0,[1],0
2,2,2,1,2,rel1,1,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,14,19,1,3,0,0,0,0,0,0,[1],0
3,3,3,1,1,rel1,1,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,19,12,3,5,0,0,0,0,0,0,[1],0
4,4,1,1,1,rel1,1,2,irr,irr,irr,irr,3,2,0,0,0,0,0,0,20,17,4,6,0,0,0,0,0,0,[1],0
5,5,16,1,2,rel1,1,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,19,14,3,1,0,0,0,0,0,0,[1],1
6,6,14,1,2,rel1,1,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,14,12,1,5,0,0,0,0,0,0,[1],0
7,7,4,1,2,rel1,1,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,14,19,1,3,0,0,0,0,0,0,[1],0
8,8,15,1,1,rel1,1,2,irr,rel,irr,mid4,6,1,0,-15,0,-15,0,25,19,15,3,2,-15,-15,25,0,1,0,[1],0
9,9,13,1,1,rel1,1,2,rel,irr,mid4,irr,1,5,-15,0,-15,0,25,0,15,14,2,1,-15,-15,25,0,1,0,[1],0
10,10,8,1,2,rel1,1,2,irr,irr,irr,irr,2,3,0,0,0,0,0,0,17,20,6,4,0,0,0,1,0,0,[1],1
11,11,6,1,2,rel1,1,2,irr,irr,irr,irr,3,4,0,0,0,0,0,0,20,12,4,5,0,0,0,1,0,0,[1],0
12,12,10,1,2,rel1,1,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,19,14,3,1,0,0,0,1,0,0,[1],0
13,13,7,1,1,rel1,1,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,19,12,3,5,0,0,0,1,0,0,[1],0
14,14,5,1,1,rel1,1,2,irr,irr,irr,irr,5,3,0,0,0,0,0,0,14,20,1,4,0,0,0,1,0,0,[1],0
15,15,9,1,1,rel1,1,2,irr,irr,irr,irr,4,3,0,0,0,0,0,0,12,20,5,4,0,0,0,1,0,0,[1],0
