,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,33,3,1,rel3,1,2,irr,rel,irr,high2,5,3,0,-40,0,-40,0,20,36,40,1,4,-40.0,-40,20,0,1,0,"[1, 2, 3]",0
1,1,43,3,1,rel3,1,2,rel,rel,high1,high2,1,3,40,-40,40,-40,-20,20,31,40,2,4,-2.0,0,0,0,1,0,"[1, 2, 3]",0
2,2,49,3,1,rel3,1,2,irr,rel,irr,high2,5,3,0,-40,0,-40,0,20,36,40,1,4,-42.0,-40,20,0,1,0,"[1, 2, 3]",0
3,3,24,3,2,rel3,1,2,rel,irr,mid1,irr,2,4,-15,0,25,0,-15,0,33,32,3,5,-12.0,25,-15,0,1,0,"[1, 2, 3]",0
4,4,22,3,2,rel3,1,2,rel,rel,high1,mid1,1,2,-20,-15,40,25,-20,-15,31,33,2,3,-36.0,65,-35,0,1,0,"[1, 2, 3]",0
5,5,28,3,2,rel3,1,2,irr,rel,irr,high2,4,3,0,20,0,-40,0,20,32,40,5,4,20.0,-40,20,0,1,0,"[1, 2, 3]",0
6,6,32,3,2,rel3,1,2,rel,irr,high2,irr,3,4,20,0,-40,0,20,0,40,32,4,5,21.0,-40,20,0,1,0,"[1, 2, 3]",0
7,7,1,3,1,rel3,1,2,irr,rel,irr,high1,5,1,0,40,0,40,0,-20,36,31,1,2,43.0,40,-20,0,1,0,"[1, 2, 3]",0
8,8,51,3,1,rel3,1,2,irr,rel,irr,high2,4,3,0,-40,0,-40,0,20,32,40,5,4,-39.0,-40,20,0,1,0,"[1, 2, 3]",0
9,9,23,3,1,rel3,1,2,irr,rel,irr,high2,4,3,0,-40,0,-40,0,20,32,40,5,4,-40.0,-40,20,0,1,0,"[1, 2, 3]",0
10,10,27,3,1,rel3,1,2,irr,rel,irr,high1,4,1,0,40,0,40,0,-20,32,31,5,2,36.0,40,-20,0,1,0,"[1, 2, 3]",0
11,11,39,3,1,rel3,1,2,irr,rel,irr,mid1,4,2,0,25,0,25,0,-15,32,33,5,3,26.0,25,-15,0,1,0,"[1, 2, 3]",0
12,12,6,3,2,rel3,1,2,rel,irr,high1,irr,1,4,-20,0,40,0,-20,0,31,32,2,5,-18.0,40,-20,0,1,0,"[1, 2, 3]",0
13,13,36,3,2,rel3,1,2,irr,rel,irr,high1,5,1,0,-20,0,40,0,-20,36,31,1,2,-21.0,40,-20,0,1,0,"[1, 2, 3]",0
14,14,56,3,2,rel3,1,2,rel,irr,mid1,irr,2,6,-15,0,25,0,-15,0,33,35,3,6,-12.0,25,-15,0,1,0,"[1, 2, 3]",0
15,15,35,3,1,rel3,1,2,irr,rel,irr,mid1,5,2,0,25,0,25,0,-15,36,33,1,3,24.0,25,-15,0,1,0,"[1, 2, 3]",0
16,16,57,3,1,rel3,1,2,rel,irr,mid1,irr,2,4,25,0,25,0,-15,0,33,32,3,5,27.0,25,-15,0,1,0,"[1, 2, 3]",0
17,17,42,3,2,rel3,1,2,irr,rel,irr,high2,4,3,0,20,0,-40,0,20,32,40,5,4,18.0,-40,20,0,1,0,"[1, 2, 3]",0
18,18,7,3,1,rel3,1,2,rel,irr,high2,irr,3,5,-40,0,-40,0,20,0,40,36,4,1,-39.0,-40,20,0,1,0,"[1, 2, 3]",0
19,19,17,3,1,rel3,1,2,irr,rel,irr,high2,4,3,0,-40,0,-40,0,20,32,40,5,4,-41.0,-40,20,0,1,1,"[1, 2, 3]",1
20,20,11,3,1,rel3,1,2,rel,rel,high1,high2,1,3,40,-40,40,-40,-20,20,31,40,2,4,0.0,0,0,0,1,0,"[1, 2, 3]",0
21,21,10,3,2,rel3,1,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,35,36,6,1,-3.0,0,0,0,0,0,"[1, 2, 3]",0
22,22,45,3,1,rel3,1,2,rel,irr,high1,irr,1,5,40,0,40,0,-20,0,31,36,2,1,44.0,40,-20,0,1,0,"[1, 2, 3]",0
23,23,29,3,1,rel3,1,2,rel,rel,mid1,high2,2,3,25,-40,25,-40,-15,20,33,40,3,4,-16.0,-15,5,0,1,1,"[1, 2, 3]",0
24,24,16,3,2,rel3,1,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,35,32,6,5,-1.0,0,0,0,0,0,"[1, 2, 3]",0
25,25,18,3,2,rel3,1,2,irr,rel,irr,mid1,5,2,0,-15,0,25,0,-15,36,33,1,3,-15.0,25,-15,0,1,0,"[1, 2, 3]",0
26,26,20,3,2,rel3,1,2,irr,rel,irr,high2,4,3,0,20,0,-40,0,20,32,40,5,4,20.0,-40,20,0,1,0,"[1, 2, 3]",0
27,27,21,3,1,rel3,1,2,rel,irr,high1,irr,1,5,40,0,40,0,-20,0,31,36,2,1,37.0,40,-20,0,1,0,"[1, 2, 3]",0
28,28,19,3,1,rel3,1,2,rel,rel,high1,high2,1,3,40,-40,40,-40,-20,20,31,40,2,4,1.0,0,0,0,1,1,"[1, 2, 3]",0
29,29,3,3,1,rel3,1,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,36,35,1,6,1.0,0,0,0,0,0,"[1, 2, 3]",0
30,30,37,3,1,rel3,1,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,36,32,1,5,-1.0,0,0,0,0,0,"[1, 2, 3]",0
31,31,55,3,1,rel3,1,2,irr,rel,irr,mid1,5,2,0,25,0,25,0,-15,36,33,1,3,25.0,25,-15,0,1,0,"[1, 2, 3]",0
32,32,25,3,1,rel3,1,2,rel,irr,mid1,irr,2,6,25,0,25,0,-15,0,33,35,3,6,25.0,25,-15,0,1,0,"[1, 2, 3]",0
33,33,59,3,1,rel3,1,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,32,36,5,1,-1.0,0,0,0,0,0,"[1, 2, 3]",0
34,34,12,3,2,rel3,1,2,rel,rel,high2,high1,3,1,20,-20,-40,40,20,-20,40,31,4,2,-1.0,0,0,0,1,1,"[1, 2, 3]",0
35,35,60,3,2,rel3,1,2,rel,irr,mid1,irr,2,4,-15,0,25,0,-15,0,33,32,3,5,-14.0,25,-15,1,1,0,"[1, 2, 3]",0
36,36,34,3,2,rel3,1,2,rel,irr,high1,irr,1,4,-20,0,40,0,-20,0,31,32,2,5,-20.0,40,-20,1,1,1,"[1, 2, 3]",0
37,37,53,3,1,rel3,1,2,rel,irr,high2,irr,3,6,-40,0,-40,0,20,0,40,35,4,6,-38.0,-40,20,0,1,0,"[1, 2, 3]",0
38,38,38,3,2,rel3,1,2,irr,rel,irr,high1,4,1,0,-20,0,40,0,-20,32,31,5,2,-16.0,40,-20,1,1,1,"[1, 2, 3]",0
39,39,26,3,2,rel3,1,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,36,32,1,5,-3.0,0,0,0,0,0,"[1, 2, 3]",1
40,40,41,3,1,rel3,1,2,rel,irr,mid1,irr,2,4,25,0,25,0,-15,0,33,32,3,5,24.0,25,-15,0,1,1,"[1, 2, 3]",0
41,41,54,3,2,rel3,1,2,rel,irr,high1,irr,1,5,-20,0,40,0,-20,0,31,36,2,1,-21.0,40,-20,1,1,1,"[1, 2, 3]",0
42,42,14,3,2,rel3,1,2,rel,irr,mid1,irr,2,6,-15,0,25,0,-15,0,33,35,3,6,-18.0,25,-15,0,1,1,"[1, 2, 3]",0
43,43,31,3,1,rel3,1,2,irr,rel,irr,high1,5,1,0,40,0,40,0,-20,36,31,1,2,39.0,40,-20,0,1,1,"[1, 2, 3]",0
44,44,58,3,2,rel3,1,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,36,32,1,5,-1.0,0,0,0,0,0,"[1, 2, 3]",0
45,45,2,3,2,rel3,1,2,rel,irr,high1,irr,1,5,-20,0,40,0,-20,0,31,36,2,1,-22.0,40,-20,1,1,1,"[1, 2, 3]",0
46,46,52,3,2,rel3,1,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,36,35,1,6,0.0,0,0,0,0,0,"[1, 2, 3]",0
