,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli
0,0,15,3,1,rel3,1,2,irr,rel,irr,mid4,4,2,0,-15,0,-15,0,25,32,34,4,1,-15.0,-15,25,0,1,0,"[4, 0, 1]"
1,1,21,3,1,rel3,1,2,irr,rel,irr,high2,4,3,0,-40,0,-40,0,20,32,37,4,5,-43.0,-40,20,0,1,0,"[4, 0, 1]"
2,2,56,3,2,rel3,1,2,rel,rel,high2,high3,3,1,20,-40,-40,20,20,-40,37,38,5,2,-18.0,-20,-20,0,1,0,"[4, 0, 1]"
3,3,36,3,2,rel3,1,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,32,35,4,6,-2.0,0,0,0,0,0,"[4, 0, 1]"
4,4,47,3,1,rel3,1,2,rel,irr,mid4,irr,2,5,-15,0,-15,0,25,0,34,35,1,6,-16.0,-15,25,0,1,0,"[4, 0, 1]"
5,5,16,3,2,rel3,1,2,rel,rel,high2,mid4,3,2,20,25,-40,-15,20,25,37,34,5,1,48.0,-55,45,0,1,0,"[4, 0, 1]"
6,6,11,3,1,rel3,1,2,rel,irr,high3,irr,1,6,20,0,20,0,-40,0,38,33,2,3,19.0,20,-40,0,1,0,"[4, 0, 1]"
7,7,26,3,2,rel3,1,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,32,33,4,3,-2.0,0,0,0,0,0,"[4, 0, 1]"
8,8,45,3,1,rel3,1,2,rel,rel,mid4,high2,2,3,-15,-40,-15,-40,25,20,34,37,1,5,-54.0,-55,45,0,1,0,"[4, 0, 1]"
9,9,35,3,1,rel3,1,2,rel,irr,high3,irr,1,4,20,0,20,0,-40,0,38,32,2,4,21.0,20,-40,0,1,0,"[4, 0, 1]"
10,10,8,3,2,rel3,1,2,rel,irr,high2,irr,3,5,20,0,-40,0,20,0,37,35,5,6,19.0,-40,20,0,1,0,"[4, 0, 1]"
11,11,9,3,1,rel3,1,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,33,35,3,6,-2.0,0,0,0,0,0,"[4, 0, 1]"
12,12,51,3,1,rel3,1,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,33,32,3,4,-2.0,0,0,0,0,0,"[4, 0, 1]"
13,13,25,3,1,rel3,1,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,32,35,4,6,2.0,0,0,0,0,0,"[4, 0, 1]"
14,14,1,3,1,rel3,1,2,rel,irr,high2,irr,3,5,-40,0,-40,0,20,0,37,35,5,6,-41.0,-40,20,0,1,0,"[4, 0, 1]"
15,15,3,3,1,rel3,1,2,rel,rel,mid4,high2,2,3,-15,-40,-15,-40,25,20,34,37,1,5,-56.0,-55,45,0,1,1,"[4, 0, 1]"
16,16,18,3,2,rel3,1,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,32,33,4,3,-1.0,0,0,0,0,0,"[4, 0, 1]"
17,17,41,3,1,rel3,1,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,33,32,3,4,1.0,0,0,0,0,0,"[4, 0, 1]"
18,18,46,3,2,rel3,1,2,rel,irr,high3,irr,1,4,-40,0,20,0,-40,0,38,32,2,4,-40.0,20,-40,0,1,0,"[4, 0, 1]"
19,19,17,3,1,rel3,1,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,32,33,4,3,2.0,0,0,0,0,0,"[4, 0, 1]"
20,20,49,3,1,rel3,1,2,rel,rel,high3,mid4,1,2,20,-15,20,-15,-40,25,38,34,2,1,3.0,5,-15,1,1,0,"[4, 0, 1]"
21,21,42,3,2,rel3,1,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,35,33,6,3,3.0,0,0,0,0,0,"[4, 0, 1]"
22,22,38,3,2,rel3,1,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,32,35,4,6,1.0,0,0,0,0,0,"[4, 0, 1]"
23,23,6,3,2,rel3,1,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,33,32,3,4,-1.0,0,0,0,0,0,"[4, 0, 1]"
24,24,31,3,1,rel3,1,2,rel,irr,high3,irr,1,6,20,0,20,0,-40,0,38,33,2,3,22.0,20,-40,0,1,0,"[4, 0, 1]"
25,25,52,3,2,rel3,1,2,rel,rel,high2,high3,3,1,20,-40,-40,20,20,-40,37,38,5,2,-22.0,-20,-20,0,1,0,"[4, 0, 1]"
26,26,57,3,1,rel3,1,2,rel,irr,high2,irr,3,4,-40,0,-40,0,20,0,37,32,5,4,-42.0,-40,20,0,1,1,"[4, 0, 1]"
27,27,24,3,2,rel3,1,2,rel,irr,high2,irr,3,6,20,0,-40,0,20,0,37,33,5,3,20.0,-40,20,0,1,1,"[4, 0, 1]"
28,28,10,3,2,rel3,1,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,35,32,6,4,0.0,0,0,1,0,0,"[4, 0, 1]"
29,29,58,3,2,rel3,1,2,irr,rel,irr,high2,5,3,0,20,0,-40,0,20,35,37,6,5,19.0,-40,20,0,1,0,"[4, 0, 1]"
30,30,50,3,2,rel3,1,2,rel,irr,high2,irr,3,5,20,0,-40,0,20,0,37,35,5,6,20.0,-40,20,0,1,1,"[4, 0, 1]"
