,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,56,4,2,rel4,2,2,rel,rel,low4,high3,4,1,5,-40,-15,20,5,-40,42,47,2,3,-37.0,5,-35,0,1,0,"[1, 5, 3, 2]",0
1,1,19,4,1,rel4,2,2,rel,irr,mid3,irr,2,6,15,0,15,0,-25,0,43,44,6,5,15.0,15,-25,0,1,0,"[1, 5, 3, 2]",0
2,2,1,4,1,rel4,2,2,rel,rel,low4,mid3,4,2,-15,15,-15,15,5,-25,42,43,2,6,2.0,0,-20,0,1,0,"[1, 5, 3, 2]",0
3,3,22,4,2,rel4,2,2,rel,irr,low1,irr,3,5,-15,0,5,0,-15,0,48,45,4,1,-19.0,5,-15,0,1,0,"[1, 5, 3, 2]",0
4,4,18,4,2,rel4,2,2,rel,rel,low4,low1,4,3,5,-15,-15,5,5,-15,42,48,2,4,-12.0,-10,-10,0,1,0,"[1, 5, 3, 2]",0
5,5,13,4,1,rel4,2,2,rel,irr,low1,irr,3,6,5,0,5,0,-15,0,48,44,4,5,4.0,5,-15,0,1,0,"[1, 5, 3, 2]",0
6,6,2,4,2,rel4,2,2,irr,rel,irr,mid3,5,2,0,-25,0,15,0,-25,45,43,1,6,-25.0,15,-25,0,1,0,"[1, 5, 3, 2]",0
7,7,41,4,1,rel4,2,2,rel,irr,mid3,irr,2,5,15,0,15,0,-25,0,43,45,6,1,14.0,15,-25,0,1,0,"[1, 5, 3, 2]",0
8,8,44,4,2,rel4,2,2,rel,irr,high3,irr,1,5,-40,0,20,0,-40,0,47,45,3,1,-41.0,20,-40,0,1,0,"[1, 5, 3, 2]",0
9,9,7,4,1,rel4,2,2,rel,irr,low4,irr,4,6,-15,0,-15,0,5,0,42,44,2,5,-15.0,-15,5,0,1,0,"[1, 5, 3, 2]",0
10,10,30,4,2,rel4,2,2,irr,rel,irr,mid3,5,2,0,-25,0,15,0,-25,45,43,1,6,-26.0,15,-25,0,1,0,"[1, 5, 3, 2]",0
11,11,3,4,1,rel4,2,2,rel,rel,low4,low1,4,3,-15,5,-15,5,5,-15,42,48,2,4,-12.0,-10,-10,0,1,0,"[1, 5, 3, 2]",0
12,12,49,4,1,rel4,2,2,rel,irr,mid3,irr,2,6,15,0,15,0,-25,0,43,44,6,5,16.0,15,-25,0,1,0,"[1, 5, 3, 2]",0
13,13,34,4,2,rel4,2,2,rel,rel,low1,high3,3,1,-15,-40,5,20,-15,-40,48,47,4,3,-53.0,25,-55,0,1,1,"[1, 5, 3, 2]",0
14,14,37,4,1,rel4,2,2,irr,rel,irr,low1,6,3,0,5,0,5,0,-15,44,48,5,4,4.0,5,-15,0,1,0,"[1, 5, 3, 2]",0
15,15,5,4,1,rel4,2,2,rel,irr,mid3,irr,2,5,15,0,15,0,-25,0,43,45,6,1,15.0,15,-25,0,1,0,"[1, 5, 3, 2]",0
16,16,40,4,2,rel4,2,2,rel,rel,high3,low4,1,4,-40,5,20,-15,-40,5,47,42,3,2,-38.0,5,-35,0,1,0,"[1, 5, 3, 2]",0
17,17,12,4,2,rel4,2,2,irr,rel,irr,mid3,6,2,0,-25,0,15,0,-25,44,43,5,6,-28.0,15,-25,0,1,1,"[1, 5, 3, 2]",0
18,18,32,4,2,rel4,2,2,rel,rel,low4,high3,4,1,5,-40,-15,20,5,-40,42,47,2,3,-34.0,5,-35,0,1,1,"[1, 5, 3, 2]",0
19,19,16,4,2,rel4,2,2,rel,irr,high3,irr,1,6,-40,0,20,0,-40,0,47,44,3,5,-42.0,20,-40,0,1,0,"[1, 5, 3, 2]",1
20,20,58,4,2,rel4,2,2,irr,rel,irr,low1,6,3,0,-15,0,5,0,-15,44,48,5,4,-16.0,5,-15,0,1,0,"[1, 5, 3, 2]",0
21,21,36,4,2,rel4,2,2,rel,rel,low4,low1,4,3,5,-15,-15,5,5,-15,42,48,2,4,-13.0,-10,-10,0,1,0,"[1, 5, 3, 2]",0
22,22,17,4,1,rel4,2,2,rel,rel,mid3,low1,2,3,15,5,15,5,-25,-15,43,48,6,4,22.0,20,-40,0,1,0,"[1, 5, 3, 2]",0
23,23,55,4,1,rel4,2,2,irr,rel,irr,mid3,5,2,0,15,0,15,0,-25,45,43,1,6,15.0,15,-25,0,1,1,"[1, 5, 3, 2]",0
24,24,27,4,1,rel4,2,2,rel,rel,mid3,low1,2,3,15,5,15,5,-25,-15,43,48,6,4,22.0,20,-40,0,1,0,"[1, 5, 3, 2]",0
25,25,25,4,1,rel4,2,2,irr,rel,irr,low1,6,3,0,5,0,5,0,-15,44,48,5,4,3.0,5,-15,1,1,0,"[1, 5, 3, 2]",0
26,26,43,4,1,rel4,2,2,rel,rel,mid3,high3,2,1,15,20,15,20,-25,-40,43,47,6,3,36.0,35,-65,0,1,0,"[1, 5, 3, 2]",0
27,27,51,4,1,rel4,2,2,rel,rel,high3,low1,1,3,20,5,20,5,-40,-15,47,48,3,4,21.0,25,-55,0,1,1,"[1, 5, 3, 2]",0
28,28,35,4,1,rel4,2,2,irr,rel,irr,low1,5,3,0,5,0,5,0,-15,45,48,1,4,7.0,5,-15,1,1,1,"[1, 5, 3, 2]",0
29,29,24,4,2,rel4,2,2,rel,rel,mid3,high3,2,1,-25,-40,15,20,-25,-40,43,47,6,3,-69.0,35,-65,0,1,0,"[1, 5, 3, 2]",0
30,30,15,4,1,rel4,2,2,rel,rel,low1,high3,3,1,5,20,5,20,-15,-40,48,47,4,3,23.0,25,-55,0,1,0,"[1, 5, 3, 2]",0
31,31,8,4,2,rel4,2,2,rel,rel,low1,mid3,3,2,-15,-25,5,15,-15,-25,48,43,4,6,-42.0,20,-40,0,1,1,"[1, 5, 3, 2]",0
