,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,26,4,2,rel4,5,2,rel,irr,low1,irr,1,6,-15,0,5,0,-15,0,50,42,6,2,-15.0,5,-15,0,1,0,"[5, 2, 4, 0]",0
1,1,23,4,1,rel4,5,2,rel,rel,mid2,high2,3,4,-25,-40,-25,-40,15,20,41,44,3,5,-63.0,-65,35,0,1,0,"[5, 2, 4, 0]",0
2,2,35,4,1,rel4,5,2,rel,rel,high2,low1,4,1,-40,5,-40,5,20,-15,44,50,5,6,-35.0,-35,5,0,1,0,"[5, 2, 4, 0]",0
3,3,15,4,1,rel4,5,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,42,49,2,4,-3.0,0,0,0,0,0,"[5, 2, 4, 0]",0
4,4,32,4,2,rel4,5,2,rel,rel,high2,low1,4,1,20,-15,-40,5,20,-15,44,50,5,6,5.0,-35,5,0,1,0,"[5, 2, 4, 0]",0
5,5,21,4,1,rel4,5,2,rel,rel,high4,mid2,2,3,-20,-25,-20,-25,40,15,45,41,1,3,-46.0,-45,55,0,1,0,"[5, 2, 4, 0]",0
6,6,9,4,1,rel4,5,2,irr,rel,irr,low1,6,1,0,5,0,5,0,-15,42,50,2,6,8.0,5,-15,0,1,0,"[5, 2, 4, 0]",0
7,7,10,4,2,rel4,5,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,42,49,2,4,-2.0,0,0,0,0,0,"[5, 2, 4, 0]",0
8,8,42,4,2,rel4,5,2,irr,rel,irr,mid2,5,3,0,15,0,-25,0,15,49,41,4,3,17.0,-25,15,0,1,0,"[5, 2, 4, 0]",0
9,9,36,4,2,rel4,5,2,rel,rel,low1,high4,1,2,-15,40,5,-20,-15,40,50,45,6,1,25.0,-15,25,0,1,0,"[5, 2, 4, 0]",0
10,10,47,4,1,rel4,5,2,rel,rel,high2,low1,4,1,-40,5,-40,5,20,-15,44,50,5,6,-34.0,-35,5,0,1,0,"[5, 2, 4, 0]",0
11,11,28,4,2,rel4,5,2,rel,irr,high2,irr,4,6,20,0,-40,0,20,0,44,42,5,2,21.0,-40,20,0,1,0,"[5, 2, 4, 0]",0
12,12,60,4,2,rel4,5,2,rel,rel,mid2,low1,3,1,15,-15,-25,5,15,-15,41,50,3,6,1.0,-20,0,0,1,0,"[5, 2, 4, 0]",0
13,13,22,4,2,rel4,5,2,rel,rel,low1,high2,1,4,-15,20,5,-40,-15,20,50,44,6,5,7.0,-35,5,0,1,1,"[5, 2, 4, 0]",0
14,14,20,4,2,rel4,5,2,rel,irr,mid2,irr,3,6,15,0,-25,0,15,0,41,42,3,2,17.0,-25,15,0,1,0,"[5, 2, 4, 0]",0
15,15,45,4,1,rel4,5,2,rel,rel,mid2,high4,3,2,-25,-20,-25,-20,15,40,41,45,3,1,-44.0,-45,55,0,1,0,"[5, 2, 4, 0]",0
16,16,51,4,1,rel4,5,2,rel,rel,high2,low1,4,1,-40,5,-40,5,20,-15,44,50,5,6,-34.0,-35,5,0,1,0,"[5, 2, 4, 0]",0
17,17,52,4,2,rel4,5,2,rel,irr,high2,irr,4,5,20,0,-40,0,20,0,44,49,5,4,18.0,-40,20,0,1,1,"[5, 2, 4, 0]",0
18,18,14,4,2,rel4,5,2,irr,rel,irr,low1,5,1,0,-15,0,5,0,-15,49,50,4,6,-17.0,5,-15,0,1,0,"[5, 2, 4, 0]",0
19,19,24,4,2,rel4,5,2,irr,rel,irr,high4,6,2,0,40,0,-20,0,40,42,45,2,1,40.0,-20,40,0,1,0,"[5, 2, 4, 0]",1
20,20,38,4,2,rel4,5,2,rel,irr,high2,irr,4,6,20,0,-40,0,20,0,44,42,5,2,20.0,-40,20,0,1,0,"[5, 2, 4, 0]",0
21,21,7,4,1,rel4,5,2,irr,rel,irr,mid2,5,3,0,-25,0,-25,0,15,49,41,4,3,-25.0,-25,15,0,1,0,"[5, 2, 4, 0]",0
22,22,37,4,1,rel4,5,2,rel,irr,mid2,irr,3,6,-25,0,-25,0,15,0,41,42,3,2,-23.0,-25,15,0,1,0,"[5, 2, 4, 0]",0
23,23,6,4,2,rel4,5,2,irr,rel,irr,high2,5,4,0,20,0,-40,0,20,49,44,4,5,20.0,-40,20,0,1,1,"[5, 2, 4, 0]",0
