,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,22,4,2,rel4,0,2,rel,irr,high4,irr,4,5,40,0,-20,0,40,0,42,46,3,6,38.0,-20,40,0,1,0,"[2, 4, 0, 3]",0
1,1,27,4,1,rel4,0,2,rel,rel,high4,high3,4,2,-20,20,-20,20,40,-40,42,41,3,4,0.0,0,0,0,1,0,"[2, 4, 0, 3]",0
2,2,35,4,1,rel4,0,2,rel,irr,high4,irr,4,6,-20,0,-20,0,40,0,42,47,3,2,-17.0,-20,40,0,1,0,"[2, 4, 0, 3]",0
3,3,23,4,1,rel4,0,2,rel,rel,high4,high3,4,2,-20,20,-20,20,40,-40,42,41,3,4,1.0,0,0,0,1,0,"[2, 4, 0, 3]",0
4,4,60,4,2,rel4,0,2,irr,rel,irr,high4,6,4,0,40,0,-20,0,40,47,42,2,3,41.0,-20,40,0,1,0,"[2, 4, 0, 3]",0
5,5,1,4,1,rel4,0,2,irr,rel,irr,high1,5,1,0,40,0,40,0,-20,46,50,6,1,43.0,40,-20,0,1,0,"[2, 4, 0, 3]",0
6,6,51,4,1,rel4,0,2,irr,rel,irr,low4,6,3,0,-15,0,-15,0,5,47,43,2,5,-17.0,-15,5,0,1,0,"[2, 4, 0, 3]",0
7,7,53,4,1,rel4,0,2,irr,rel,irr,high4,5,4,0,-20,0,-20,0,40,46,42,6,3,-19.0,-20,40,0,1,0,"[2, 4, 0, 3]",0
8,8,32,4,2,rel4,0,2,rel,rel,low4,high3,3,2,5,-40,-15,20,5,-40,43,41,5,4,-33.0,5,-35,0,1,0,"[2, 4, 0, 3]",0
9,9,56,4,2,rel4,0,2,rel,rel,high1,high4,1,4,-20,40,40,-20,-20,40,50,42,1,3,19.0,20,20,0,1,0,"[2, 4, 0, 3]",0
10,10,26,4,2,rel4,0,2,irr,rel,irr,low4,6,3,0,5,0,-15,0,5,47,43,2,5,6.0,-15,5,0,1,0,"[2, 4, 0, 3]",0
11,11,47,4,1,rel4,0,2,rel,rel,high1,high3,1,2,40,20,40,20,-20,-40,50,41,1,4,60.0,60,-60,0,1,0,"[2, 4, 0, 3]",0
