,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli
0,0,37,2,1,rel2,5,2,rel,irr,low3,irr,1,4,15,0,15,0,-5,0,27,28,6,3,15.0,15,-5,0,1,0,"[0, 1]"
1,1,21,2,1,rel2,5,2,irr,rel,irr,low3,4,1,0,15,0,15,0,-5,28,27,3,6,12.0,15,-5,0,1,0,"[0, 1]"
2,2,36,2,2,rel2,5,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,23,28,2,3,4.0,0,0,0,0,0,"[0, 1]"
3,3,50,2,2,rel2,5,2,rel,irr,low2,irr,2,4,15,0,-5,0,15,0,25,28,1,3,13.0,-5,15,0,1,0,"[0, 1]"
4,4,55,2,1,rel2,5,2,rel,irr,low3,irr,1,4,15,0,15,0,-5,0,27,28,6,3,16.0,15,-5,0,1,0,"[0, 1]"
5,5,24,2,2,rel2,5,2,rel,irr,low2,irr,2,3,15,0,-5,0,15,0,25,22,1,4,15.0,-5,15,0,1,0,"[0, 1]"
6,6,13,2,1,rel2,5,2,irr,irr,irr,irr,5,3,0,0,0,0,0,0,23,22,2,4,0.0,0,0,0,0,0,"[0, 1]"
7,7,57,2,1,rel2,5,2,rel,irr,low2,irr,2,3,-5,0,-5,0,15,0,25,22,1,4,-6.0,-5,15,0,1,0,"[0, 1]"
8,8,14,2,2,rel2,5,2,rel,irr,low3,irr,1,3,-5,0,15,0,-5,0,27,22,6,4,-4.0,15,-5,0,1,0,"[0, 1]"
9,9,32,2,2,rel2,5,2,rel,rel,low3,low2,1,2,-5,15,15,-5,-5,15,27,25,6,1,9.0,10,10,0,1,0,"[0, 1]"
10,10,28,2,2,rel2,5,2,irr,rel,irr,low3,5,1,0,-5,0,15,0,-5,23,27,2,6,-5.0,15,-5,0,1,0,"[0, 1]"
11,11,17,2,1,rel2,5,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,28,30,3,5,0.0,0,0,0,0,0,"[0, 1]"
12,12,54,2,2,rel2,5,2,irr,rel,irr,low3,3,1,0,-5,0,15,0,-5,22,27,4,6,-5.0,15,-5,0,1,0,"[0, 1]"
13,13,2,2,2,rel2,5,2,irr,rel,irr,low3,4,1,0,-5,0,15,0,-5,28,27,3,6,-5.0,15,-5,0,1,0,"[0, 1]"
14,14,12,2,2,rel2,5,2,rel,irr,low2,irr,2,3,15,0,-5,0,15,0,25,22,1,4,10.0,-5,15,0,1,0,"[0, 1]"
15,15,10,2,2,rel2,5,2,irr,rel,irr,low3,4,1,0,-5,0,15,0,-5,28,27,3,6,-4.0,15,-5,0,1,1,"[0, 1]"
16,16,29,2,1,rel2,5,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,28,30,3,5,1.0,0,0,0,0,0,"[0, 1]"
17,17,53,2,1,rel2,5,2,irr,irr,irr,irr,4,3,0,0,0,0,0,0,28,22,3,4,-1.0,0,0,0,0,0,"[0, 1]"
18,18,59,2,1,rel2,5,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,28,23,3,2,2.0,0,0,0,0,0,"[0, 1]"
19,19,27,2,1,rel2,5,2,rel,irr,low3,irr,1,6,15,0,15,0,-5,0,27,30,6,5,13.0,15,-5,0,1,0,"[0, 1]"
20,20,8,2,2,rel2,5,2,irr,rel,irr,low3,5,1,0,-5,0,15,0,-5,23,27,2,6,-4.0,15,-5,1,1,0,"[0, 1]"
21,21,9,2,1,rel2,5,2,irr,rel,irr,low2,5,2,0,-5,0,-5,0,15,23,25,2,1,-4.0,-5,15,0,1,0,"[0, 1]"
22,22,51,2,1,rel2,5,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,30,23,5,2,-4.0,0,0,0,0,0,"[0, 1]"
23,23,39,2,1,rel2,5,2,rel,irr,low3,irr,1,3,15,0,15,0,-5,0,27,22,6,4,15.0,15,-5,0,1,0,"[0, 1]"
24,24,35,2,1,rel2,5,2,irr,rel,irr,low2,6,2,0,-5,0,-5,0,15,30,25,5,1,-6.0,-5,15,1,1,0,"[0, 1]"
25,25,18,2,2,rel2,5,2,irr,rel,irr,low2,6,2,0,15,0,-5,0,15,30,25,5,1,20.0,-5,15,0,1,1,"[0, 1]"
26,26,41,2,1,rel2,5,2,irr,rel,irr,low3,6,1,0,15,0,15,0,-5,30,27,5,6,15.0,15,-5,0,1,0,"[0, 1]"
27,27,15,2,1,rel2,5,2,irr,irr,irr,irr,3,5,0,0,0,0,0,0,22,23,4,2,1.0,0,0,0,0,0,"[0, 1]"
28,28,31,2,1,rel2,5,2,irr,irr,irr,irr,5,3,0,0,0,0,0,0,23,22,2,4,-4.0,0,0,0,0,0,"[0, 1]"
29,29,40,2,2,rel2,5,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,23,28,2,3,2.0,0,0,0,0,0,"[0, 1]"
30,30,45,2,1,rel2,5,2,irr,rel,irr,low3,6,1,0,15,0,15,0,-5,30,27,5,6,18.0,15,-5,1,1,1,"[0, 1]"
31,31,38,2,2,rel2,5,2,irr,rel,irr,low3,6,1,0,-5,0,15,0,-5,30,27,5,6,-6.0,15,-5,0,1,0,"[0, 1]"
32,32,33,2,1,rel2,5,2,rel,rel,low2,low3,2,1,-5,15,-5,15,15,-5,25,27,1,6,8.0,10,10,1,1,1,"[0, 1]"
33,33,16,2,2,rel2,5,2,irr,rel,irr,low3,6,1,0,-5,0,15,0,-5,30,27,5,6,-5.0,15,-5,0,1,0,"[0, 1]"
34,34,11,2,1,rel2,5,2,irr,rel,irr,low3,6,1,0,15,0,15,0,-5,30,27,5,6,18.0,15,-5,0,1,0,"[0, 1]"
35,35,46,2,2,rel2,5,2,irr,irr,irr,irr,4,3,0,0,0,0,0,0,28,22,3,4,0.0,0,0,1,0,0,"[0, 1]"
36,36,34,2,2,rel2,5,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,28,30,3,5,-1.0,0,0,0,0,0,"[0, 1]"
37,37,1,2,1,rel2,5,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,30,28,5,3,0.0,0,0,1,0,0,"[0, 1]"
38,38,26,2,2,rel2,5,2,rel,irr,low2,irr,2,3,15,0,-5,0,15,0,25,22,1,4,16.0,-5,15,1,1,1,"[0, 1]"
