,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,2,4,2,rel4,3,4,rel,irr,rel,rel,mid1,irr,high4,high2,2,6,3,4,-15,0,40,20,25,0,-20,-40,-15,0,40,20,43,44,46,42,5,1,3,6,44.0,-35,45,0,1,0,"[4, 5, 2, 3]",0
1,1,19,4,1,rel4,3,4,rel,rel,irr,rel,high2,mid1,irr,high4,4,2,5,3,-40,25,0,-20,-40,25,0,-20,20,-15,0,40,42,43,45,46,6,5,2,3,-37.0,-35,45,0,1,0,"[4, 5, 2, 3]",0
2,2,3,4,1,rel4,3,4,irr,rel,rel,irr,irr,mid1,high4,irr,6,2,3,5,0,25,-20,0,0,25,-20,0,0,-15,40,0,44,43,46,45,1,5,3,2,7.0,5,25,0,1,0,"[4, 5, 2, 3]",0
3,3,11,4,1,rel4,3,4,rel,irr,irr,rel,high2,irr,irr,mid1,4,5,6,2,-40,0,0,25,-40,0,0,25,20,0,0,-15,42,45,44,43,6,2,1,5,-14.0,-15,5,0,1,0,"[4, 5, 2, 3]",0
4,4,8,4,2,rel4,3,4,rel,irr,rel,rel,mid1,irr,high1,high2,2,5,1,4,-15,0,-20,20,25,0,40,-40,-15,0,-20,20,43,45,47,42,5,2,4,6,-16.0,25,-15,0,1,1,"[4, 5, 2, 3]",0
5,5,5,4,1,rel4,3,4,rel,rel,rel,irr,high4,high1,high2,irr,3,1,4,5,-20,40,-40,0,-20,40,-40,0,40,-20,20,0,46,47,42,45,3,4,6,2,-23.0,-20,40,0,1,0,"[4, 5, 2, 3]",0
6,6,20,4,2,rel4,3,4,rel,rel,rel,irr,high1,high2,high4,irr,1,4,3,5,-20,20,40,0,40,-40,-20,0,-20,20,40,0,47,42,46,45,4,6,3,2,37.0,-20,40,1,1,1,"[4, 5, 2, 3]",1
7,7,12,4,2,rel4,3,4,rel,rel,rel,irr,mid1,high4,high1,irr,2,3,1,6,-15,40,-20,0,25,-20,40,0,-15,40,-20,0,43,46,47,44,5,3,4,1,4.0,45,5,0,1,0,"[4, 5, 2, 3]",0
8,8,4,4,2,rel4,3,4,rel,rel,rel,rel,high1,high2,mid1,high4,1,4,2,3,-20,20,-15,40,40,-40,25,-20,-20,20,-15,40,47,42,43,46,4,6,5,3,26.0,5,25,0,1,0,"[4, 5, 2, 3]",0
9,9,13,4,1,rel4,3,4,rel,irr,rel,rel,high2,irr,mid1,high1,4,5,2,1,-40,0,25,40,-40,0,25,40,20,0,-15,-20,42,45,43,47,6,2,5,4,27.0,25,-15,0,1,0,"[4, 5, 2, 3]",0
10,10,17,4,1,rel4,3,4,rel,rel,irr,rel,high2,mid1,irr,high4,4,2,6,3,-40,25,0,-20,-40,25,0,-20,20,-15,0,40,42,43,44,46,6,5,1,3,-34.0,-35,45,1,1,1,"[4, 5, 2, 3]",0
11,11,16,4,2,rel4,3,4,rel,rel,irr,rel,high1,high4,irr,mid1,1,3,6,2,-20,40,0,-15,40,-20,0,25,-20,40,0,-15,47,46,44,43,4,3,1,5,5.0,45,5,0,1,1,"[4, 5, 2, 3]",0
12,12,15,4,1,rel4,3,4,rel,rel,irr,rel,high4,high1,irr,mid1,3,1,6,2,-20,40,0,25,-20,40,0,25,40,-20,0,-15,46,47,44,43,3,4,1,5,41.0,45,5,1,1,1,"[4, 5, 2, 3]",0
13,13,1,4,1,rel4,3,4,rel,rel,irr,rel,mid1,high4,irr,high2,2,3,5,4,25,-20,0,-40,25,-20,0,-40,-15,40,0,20,43,46,45,42,5,3,2,6,-32.0,-35,45,0,1,1,"[4, 5, 2, 3]",1
14,14,18,4,2,rel4,3,4,rel,rel,rel,irr,high1,high2,mid1,irr,1,4,2,6,-20,20,-15,0,40,-40,25,0,-20,20,-15,0,47,42,43,44,4,6,5,1,-12.0,25,-15,1,1,0,"[4, 5, 2, 3]",0
15,15,6,4,2,rel4,3,4,irr,rel,rel,rel,irr,high2,mid1,high1,6,4,2,1,0,20,-15,-20,0,-40,25,40,0,20,-15,-20,44,42,43,47,1,6,5,4,-15.0,25,-15,0,1,0,"[4, 5, 2, 3]",0
16,16,9,4,1,rel4,3,4,rel,irr,rel,rel,high2,irr,mid1,high1,4,5,2,1,-40,0,25,40,-40,0,25,40,20,0,-15,-20,42,45,43,47,6,2,5,4,27.0,25,-15,1,1,0,"[4, 5, 2, 3]",0
17,17,10,4,2,rel4,3,4,rel,rel,irr,rel,mid1,high4,irr,high2,2,3,6,4,-15,40,0,20,25,-20,0,-40,-15,40,0,20,43,46,44,42,5,3,1,6,44.0,-35,45,0,1,1,"[4, 5, 2, 3]",0
18,18,7,4,1,rel4,3,4,rel,rel,rel,irr,high2,mid1,high1,irr,4,2,1,5,-40,25,40,0,-40,25,40,0,20,-15,-20,0,42,43,47,45,6,5,4,2,27.0,25,-15,1,1,1,"[4, 5, 2, 3]",0
19,19,14,4,2,rel4,3,4,rel,rel,rel,irr,high4,high2,mid1,irr,3,4,2,6,40,20,-15,0,-20,-40,25,0,40,20,-15,0,46,42,43,44,3,6,5,1,46.0,-35,45,0,1,1,"[4, 5, 2, 3]",0
