,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,2,4,2,rel4,0,4,rel,rel,rel,rel,mid4,high3,high4,mid3,3,1,4,2,25,-40,40,-25,-15,20,-20,15,25,-40,40,-25,46,48,50,41,3,1,2,4,1.0,0,0,0,1,0,"[2, 0, 3, 1]",0
1,1,9,4,1,rel4,0,4,rel,rel,rel,rel,high3,mid3,mid4,high4,1,2,3,4,20,15,-15,-20,20,15,-15,-20,-40,-25,25,40,48,41,46,50,1,4,3,2,0.0,0,0,0,1,0,"[2, 0, 3, 1]",0
2,2,1,4,1,rel4,0,4,rel,irr,rel,rel,mid3,irr,high3,high4,2,6,1,4,15,0,20,-20,15,0,20,-20,-25,0,-40,40,41,43,48,50,4,5,1,2,14.0,15,-25,0,1,0,"[2, 0, 3, 1]",0
3,3,18,4,2,rel4,0,4,rel,rel,irr,rel,high3,mid4,irr,mid3,1,3,6,2,-40,25,0,-25,20,-15,0,15,-40,25,0,-25,48,46,43,41,1,3,5,4,-39.0,20,-40,0,1,0,"[2, 0, 3, 1]",0
4,4,7,4,1,rel4,0,4,rel,rel,rel,irr,high4,mid3,high3,irr,4,2,1,5,-20,15,20,0,-20,15,20,0,40,-25,-40,0,50,41,48,49,2,4,1,6,15.0,15,-25,0,1,0,"[2, 0, 3, 1]",0
5,5,16,4,2,rel4,0,4,rel,rel,rel,irr,high3,mid3,mid4,irr,1,2,3,6,-40,-25,25,0,20,15,-15,0,-40,-25,25,0,48,41,46,43,1,4,3,5,-40.0,20,-40,0,1,0,"[2, 0, 3, 1]",0
6,6,10,4,2,rel4,0,4,irr,rel,rel,irr,irr,mid4,high4,irr,6,3,4,5,0,25,40,0,0,-15,-20,0,0,25,40,0,43,46,50,49,5,3,2,6,65.0,-35,65,0,1,0,"[2, 0, 3, 1]",1
7,7,19,4,1,rel4,0,4,rel,rel,irr,irr,high3,mid4,irr,irr,1,3,5,6,20,-15,0,0,20,-15,0,0,-40,25,0,0,48,46,49,43,1,3,6,5,4.0,5,-15,0,1,0,"[2, 0, 3, 1]",0
8,8,3,4,1,rel4,0,4,irr,rel,rel,rel,irr,high4,mid4,mid3,6,4,3,2,0,-20,-15,15,0,-20,-15,15,0,40,25,-25,43,50,46,41,5,2,3,4,-19.0,-20,40,0,1,1,"[2, 0, 3, 1]",0
9,9,13,4,1,rel4,0,4,irr,irr,rel,rel,irr,irr,high4,mid4,5,6,4,3,0,0,-20,-15,0,0,-20,-15,0,0,40,25,49,43,50,46,6,5,2,3,-36.0,-35,65,1,1,0,"[2, 0, 3, 1]",0
10,10,15,4,1,rel4,0,4,rel,rel,irr,rel,mid4,high3,irr,high4,3,1,6,4,-15,20,0,-20,-15,20,0,-20,25,-40,0,40,46,48,43,50,3,1,5,2,-14.0,-15,25,0,1,1,"[2, 0, 3, 1]",0
11,11,6,4,2,rel4,0,4,rel,irr,rel,rel,mid3,irr,high4,high3,2,5,4,1,-25,0,40,-40,15,0,-20,20,-25,0,40,-40,41,49,50,48,4,6,2,1,-24.0,15,-25,0,1,1,"[2, 0, 3, 1]",0
12,12,8,4,2,rel4,0,4,rel,irr,irr,rel,high3,irr,irr,mid3,1,6,5,2,-40,0,0,-25,20,0,0,15,-40,0,0,-25,48,43,49,41,1,5,6,4,-69.0,35,-65,1,1,0,"[2, 0, 3, 1]",0
13,13,17,4,1,rel4,0,4,rel,irr,rel,rel,mid4,irr,mid3,high3,3,6,2,1,-15,0,15,20,-15,0,15,20,25,0,-25,-40,46,43,41,48,3,5,4,1,22.0,20,-40,1,1,0,"[2, 0, 3, 1]",1
14,14,4,4,2,rel4,0,4,rel,irr,irr,rel,mid4,irr,irr,high4,3,5,6,4,25,0,0,40,-15,0,0,-20,25,0,0,40,46,49,43,50,3,6,5,2,66.0,-35,65,0,1,1,"[2, 0, 3, 1]",0
15,15,20,4,2,rel4,0,4,irr,rel,rel,rel,irr,high3,mid4,mid3,5,1,3,2,0,-40,25,-25,0,20,-15,15,0,-40,25,-25,49,48,46,41,6,1,3,4,-41.0,20,-40,1,1,1,"[2, 0, 3, 1]",0
16,16,12,4,2,rel4,0,4,rel,rel,rel,irr,mid3,high4,high3,irr,2,4,1,5,-25,40,-40,0,15,-20,20,0,-25,40,-40,0,41,50,48,49,4,2,1,6,-25.0,15,-25,1,1,1,"[2, 0, 3, 1]",0
17,17,5,4,1,rel4,0,4,rel,irr,rel,rel,high4,irr,mid3,mid4,4,6,2,3,-20,0,15,-15,-20,0,15,-15,40,0,-25,25,50,43,41,46,2,5,4,3,-21.0,-20,40,0,1,1,"[2, 0, 3, 1]",0
18,18,14,4,2,rel4,0,4,rel,rel,irr,rel,high3,mid4,irr,high4,1,3,5,4,-40,25,0,40,20,-15,0,-20,-40,25,0,40,48,46,49,50,1,3,6,2,27.0,-15,25,0,1,1,"[2, 0, 3, 1]",0
19,19,11,4,1,rel4,0,4,irr,rel,rel,rel,irr,mid3,mid4,high3,5,2,3,1,0,15,-15,20,0,15,-15,20,0,-25,25,-40,49,41,46,48,6,4,3,1,21.0,20,-40,0,1,1,"[2, 0, 3, 1]",0
