stimulus,outcome,ISI,ITI,stim3_state,reversal,trial_type,expectedness,trial_since_reversal,sigma_switch,reinforcement_low,reinforcement_high,stim1_pct,stim2_pct,stim3_pct,alpha,no_decisions_per_type,oddball_cutoff
stim1,0,2596,2699,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2590,2555,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2461,2633,low,0,rating,regular,2,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2360,2586,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2271,2440,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2730,2293,low,0,rating,regular,3,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2667,2340,low,0,rating,regular,4,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2339,2178,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2619,2555,low,0,rating,regular,5,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2540,2290,low,0,rating,regular,6,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2655,2373,low,0,rating,regular,7,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2315,2607,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2730,2566,low,0,rating,regular,8,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2523,2828,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2541,2683,low,0,rating,regular,9,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2518,2665,low,0,rating,oddball,10,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2548,2200,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2460,2437,low,0,rating,regular,11,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2447,2690,low,0,rating,regular,12,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
DECISION_stim1_vs_stim2_,,,,,,decision,,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2726,2478,low,0,rating,regular,13,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2521,2483,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2391,2542,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2320,2484,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2480,2875,low,0,rating,regular,14,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,1,2491,2447,low,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2655,2223,low,0,rating,regular,15,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2347,2510,high,1,rating,oddball-early,1,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,0,2435,2603,high,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
DECISION_stim1_vs_stim2_,,,,,,decision,,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2487,2637,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2479,2106,high,1,rating,regular,2,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2379,2599,high,1,rating,regular,3,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2551,2826,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,0,2552,2297,high,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2065,2216,high,1,rating,regular,4,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2332,2445,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2687,2306,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,1,2262,2628,low,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2298,2354,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2089,2649,high,1,rating,regular,5,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2780,2446,high,1,rating,regular,6,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2828,2564,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2460,2263,high,1,rating,regular,7,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2021,2525,high,1,rating,regular,8,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
DECISION_stim1_vs_stim2_,,,,,,decision,,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2248,1991,high,1,rating,regular,9,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2548,2429,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2675,2680,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2537,2207,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2520,2603,high,1,rating,regular,10,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2473,2417,high,1,rating,regular,11,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
DECISION_stim1_vs_stim2_,,,,,,decision,,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,0,2330,2159,high,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2459,2511,high,1,rating,regular,12,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2509,2690,high,1,rating,oddball,13,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2726,2479,low,2,rating,regular,1,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,0,2254,2442,high,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2631,2470,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,0,2786,2241,high,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,1,2559,2663,low,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2503,2686,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2706,2449,low,2,rating,regular,2,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2308,2075,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2259,2784,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
DECISION_stim1_vs_stim3_low,,,,,,decision,,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2294,2569,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2415,2578,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2194,2422,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2610,2362,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2527,2353,low,2,rating,regular,3,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,0,2499,2437,high,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2696,2133,low,2,rating,regular,4,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2534,2379,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2865,2252,low,2,rating,regular,5,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
DECISION_stim1_vs_stim3_low,,,,,,decision,,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2375,2275,low,2,rating,oddball,6,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2153,2752,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2305,2310,low,2,rating,regular,7,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2395,2305,low,2,rating,regular,8,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2605,2263,low,2,rating,regular,9,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2191,2291,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2542,2183,low,2,rating,regular,10,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,0,2722,2669,high,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,0,2392,2463,high,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2264,2592,low,2,rating,regular,11,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2666,2640,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2524,2116,low,2,rating,oddball,12,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2610,2635,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2179,2417,low,2,rating,regular,13,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2397,2666,high,3,rating,regular,1,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2643,2475,high,3,rating,regular,2,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2319,2466,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2886,2487,high,3,rating,oddball-early,3,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
DECISION_stim1_vs_stim3_low,,,,,,decision,,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2313,2290,high,3,rating,regular,4,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2246,2825,high,3,rating,regular,5,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2698,2593,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2405,2511,high,3,rating,oddball,6,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2085,2069,high,3,rating,regular,7,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
DECISION_stim1_vs_stim3_low,,,,,,decision,,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2895,2601,high,3,rating,regular,8,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,3026,2511,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2758,2259,high,3,rating,regular,9,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2354,2284,high,3,rating,regular,10,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,0,2239,2242,high,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2577,2515,high,3,rating,regular,11,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2509,2557,high,3,rating,oddball,12,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2531,2678,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2428,2733,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,1,2537,2760,low,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2611,2202,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2720,2215,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2517,2705,high,3,rating,regular,13,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2646,2734,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2462,2714,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2589,2336,high,3,rating,regular,14,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
DECISION_stim1_vs_stim3_high,,,,,,decision,,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,0,2249,2620,high,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,1,2398,2525,low,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2232,2609,high,3,rating,regular,15,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2488,2682,high,3,rating,regular,16,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2411,2627,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2398,2677,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2337,2435,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,1,2671,2765,low,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2303,2290,high,3,rating,oddball,17,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2781,2475,low,4,rating,regular,1,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2321,2708,low,4,rating,regular,2,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2534,2463,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2331,2574,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2749,2628,low,4,rating,regular,3,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2683,2780,low,4,rating,regular,4,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
DECISION_stim1_vs_stim3_high,,,,,,decision,,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2391,2649,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2600,2544,low,4,rating,regular,5,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2507,2073,low,4,rating,regular,6,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2257,2473,low,4,rating,regular,7,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2565,2537,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2862,2516,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2295,2496,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2736,2457,low,4,rating,regular,8,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2334,2617,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
DECISION_stim1_vs_stim3_high,,,,,,decision,,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2841,2286,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,1,2562,2417,low,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,0,2469,2487,high,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2621,2352,low,4,rating,regular,9,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,0,2523,2330,high,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2378,2417,low,4,rating,regular,10,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2578,2216,low,4,rating,regular,11,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,0,2478,2358,low,4,rating,regular,12,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
DECISION_stim1_vs_stim3_high,,,,,,decision,,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,1,2334,2378,low,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,0,2642,2580,high,,rating,oddball,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2305,2196,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim3,1,2232,2284,low,4,rating,oddball,13,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim2,1,2569,2490,high,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
stim1,0,2189,2687,low,,rating,regular,,2,0.2,0.8,0.25,0.25,0.5,0.2,4,6
